county_label,month,donation_count,housing_burden,price_income_ratio,total_county_invoice_count,total_county_invoice_amount,industry_invoice_count,industry_invoice_amount,year,month_num,month_sin,month_cos,industry_count_share,industry_amount_share,log_industry_invoice_count,log_industry_invoice_amount,log_total_county_invoice_count,log_total_county_invoice_amount,carrier_usage_ratio,n_active_industries,industry_hhi,industry_entropy,top1_industry_share,top3_industry_share,row_count_per_county_month,donation_count_lag1,donation_count_lag2,donation_count_lag3,donation_count_roll3_mean,donation_count_roll3_std,donation_count_roll3_min,donation_count_roll3_max,industry_label,carrier_type_label
0,2023-01,15186,39.7,0.33,9332770,5227299297,12525,2630975,2023,1,0.49999999999999994,0.8660254037844387,0.0013420452877334382,0.000503314398222796,9.435561763085358,14.782865437973982,16.049042527656265,22.377160595034077,0.3727704636458415,54.0,0.5392722549647939,1.1807751437016987,0.7229888875435696,0.8662135678903476,90.0,17318.0,17074.0,17214.0,17202.0,99.97332977682932,17074.0,17318.0,0,0
0,2023-01,15186,39.7,0.33,9332770,5227299297,40916,13544339,2023,1,0.49999999999999994,0.8660254037844387,0.004384121755920268,0.0025910777689299776,10.619300903594985,16.42147930584683,16.049042527656265,22.377160595034077,0.3727704636458415,54.0,0.5392722549647939,1.1807751437016987,0.7229888875435696,0.8662135678903476,90.0,17318.0,17074.0,17214.0,17202.0,99.97332977682932,17074.0,17318.0,0,1
0,2023-01,15186,39.7,0.33,9332770,5227299297,1305,17962001,2023,1,0.49999999999999994,0.8660254037844387,0.00013982986830276542,0.0034361914211242075,7.174724309836376,16.7037690845592,16.049042527656265,22.377160595034077,0.3727704636458415,54.0,0.5392722549647939,1.1807751437016987,0.7229888875435696,0.8662135678903476,90.0,17318.0,17074.0,17214.0,17202.0,99.97332977682932,17074.0,17318.0,1,1
0,2023-01,15186,39.7,0.33,9332770,5227299297,36,285692,2023,1,0.49999999999999994,0.8660254037844387,3.8573756773176664e-06,5.465384393886945e-05,3.6109179126442243,12.562673086693643,16.049042527656265,22.377160595034077,0.3727704636458415,54.0,0.5392722549647939,1.1807751437016987,0.7229888875435696,0.8662135678903476,90.0,17318.0,17074.0,17214.0,17202.0,99.97332977682932,17074.0,17318.0,1,0
0,2023-01,15186,39.7,0.33,9332770,5227299297,1390,2795509,2023,1,0.49999999999999994,0.8660254037844387,0.0001489375608742099,0.0005347903077989758,7.237778191923443,14.843525116620047,16.049042527656265,22.377160595034077,0.3727704636458415,54.0,0.5392722549647939,1.1807751437016987,0.7229888875435696,0.8662135678903476,90.0,17318.0,17074.0,17214.0,17202.0,99.97332977682932,17074.0,17318.0,2,1
0,2023-01,15186,39.7,0.33,9332770,5227299297,436,842287,2023,1,0.49999999999999994,0.8660254037844387,4.671710542529174e-05,0.00016113234619708825,6.07993319509559,13.64387727749652,16.049042527656265,22.377160595034077,0.3727704636458415,54.0,0.5392722549647939,1.1807751437016987,0.7229888875435696,0.8662135678903476,90.0,17318.0,17074.0,17214.0,17202.0,99.97332977682932,17074.0,17318.0,2,0
0,2023-01,15186,39.7,0.33,9332770,5227299297,4,5397,2023,1,0.49999999999999994,0.8660254037844387,4.285972974797407e-07,1.0324643173000238e-06,1.6094379124341003,8.59378379357795,16.049042527656265,22.377160595034077,0.3727704636458415,54.0,0.5392722549647939,1.1807751437016987,0.7229888875435696,0.8662135678903476,90.0,17318.0,17074.0,17214.0,17202.0,99.97332977682932,17074.0,17318.0,3,0
0,2023-01,15186,39.7,0.33,9332770,5227299297,20,66619,2023,1,0.49999999999999994,0.8660254037844387,2.1429864873987038e-06,1.274443956905879e-05,3.044522437723423,11.10676011174767,16.049042527656265,22.377160595034077,0.3727704636458415,54.0,0.5392722549647939,1.1807751437016987,0.7229888875435696,0.8662135678903476,90.0,17318.0,17074.0,17214.0,17202.0,99.97332977682932,17074.0,17318.0,3,1
0,2023-01,15186,39.7,0.33,9332770,5227299297,9524,39845066,2023,1,0.49999999999999994,0.8660254037844387,0.0010204901652992628,0.007622495620801259,9.161675199994901,17.500509166328445,16.049042527656265,22.377160595034077,0.3727704636458415,54.0,0.5392722549647939,1.1807751437016987,0.7229888875435696,0.8662135678903476,90.0,17318.0,17074.0,17214.0,17202.0,99.97332977682932,17074.0,17318.0,5,0
0,2023-01,15186,39.7,0.33,9332770,5227299297,70536,227890404,2023,1,0.49999999999999994,0.8660254037844387,0.007557884743757748,0.04359620351771107,11.163892673824131,19.24437539153057,16.049042527656265,22.377160595034077,0.3727704636458415,54.0,0.5392722549647939,1.1807751437016987,0.7229888875435696,0.8662135678903476,90.0,17318.0,17074.0,17214.0,17202.0,99.97332977682932,17074.0,17318.0,5,1
0,2023-01,15186,39.7,0.33,9332770,5227299297,58,501235,2023,1,0.49999999999999994,0.8660254037844387,6.214660813456241e-06,9.588794739334399e-05,4.07753744390572,13.124832327038298,16.049042527656265,22.377160595034077,0.3727704636458415,54.0,0.5392722549647939,1.1807751437016987,0.7229888875435696,0.8662135678903476,90.0,17318.0,17074.0,17214.0,17202.0,99.97332977682932,17074.0,17318.0,6,1
0,2023-01,15186,39.7,0.33,9332770,5227299297,275,1799062,2023,1,0.49999999999999994,0.8660254037844387,2.9466064201732176e-05,0.0003441666332426192,5.62040086571715,14.402776531774757,16.049042527656265,22.377160595034077,0.3727704636458415,54.0,0.5392722549647939,1.1807751437016987,0.7229888875435696,0.8662135678903476,90.0,17318.0,17074.0,17214.0,17202.0,99.97332977682932,17074.0,17318.0,6,0
0,2023-01,15186,39.7,0.33,9332770,5227299297,947,2182399,2023,1,0.49999999999999994,0.8660254037844387,0.00010147041017832862,0.00041750029527723827,6.854354502255021,14.59593574663128,16.049042527656265,22.377160595034077,0.3727704636458415,54.0,0.5392722549647939,1.1807751437016987,0.7229888875435696,0.8662135678903476,90.0,17318.0,17074.0,17214.0,17202.0,99.97332977682932,17074.0,17318.0,8,1
0,2023-01,15186,39.7,0.33,9332770,5227299297,462,2874024,2023,1,0.49999999999999994,0.8660254037844387,4.950298785891006e-05,0.0005498104923223799,6.137727054086234,14.871224044261075,16.049042527656265,22.377160595034077,0.3727704636458415,54.0,0.5392722549647939,1.1807751437016987,0.7229888875435696,0.8662135678903476,90.0,17318.0,17074.0,17214.0,17202.0,99.97332977682932,17074.0,17318.0,9,1
0,2023-01,15186,39.7,0.33,9332770,5227299297,287,1276857,2023,1,0.49999999999999994,0.8660254037844387,3.07518560941714e-05,0.0002442670540661028,5.662960480135946,14.059912930711112,16.049042527656265,22.377160595034077,0.3727704636458415,54.0,0.5392722549647939,1.1807751437016987,0.7229888875435696,0.8662135678903476,90.0,17318.0,17074.0,17214.0,17202.0,99.97332977682932,17074.0,17318.0,9,0
0,2023-01,15186,39.7,0.33,9332770,5227299297,344,398115,2023,1,0.49999999999999994,0.8660254037844387,3.6859367583257704e-05,7.616074331700927e-05,5.84354441703136,12.894498699087583,16.049042527656265,22.377160595034077,0.3727704636458415,54.0,0.5392722549647939,1.1807751437016987,0.7229888875435696,0.8662135678903476,90.0,17318.0,17074.0,17214.0,17202.0,99.97332977682932,17074.0,17318.0,12,0
0,2023-01,15186,39.7,0.33,9332770,5227299297,2404,2052404,2023,1,0.49999999999999994,0.8660254037844387,0.0002575869757853242,0.00039263181298570285,7.785305182539862,14.534522834219265,16.049042527656265,22.377160595034077,0.3727704636458415,54.0,0.5392722549647939,1.1807751437016987,0.7229888875435696,0.8662135678903476,90.0,17318.0,17074.0,17214.0,17202.0,99.97332977682932,17074.0,17318.0,12,1
