fold,train_policy,validation_policy,train_rows_used,validation_rows_used,rmse,mae,smape,epsilon_mape,r2
fold_2023,year < 2023,year == 2023,47346,23856,579959.4826123632,546757.5625,127.7901899190318,1430.4544915011793,0.6967363357543945
fold_2024,year < 2024,year == 2024,71202,24604,809647.1006061839,771150.0,127.77587125893454,1354.5970602904456,0.45675891637802124
