model,test_RMSE,test_R2,train_R2
Ridge,0.001759989170895514,0.8735527093838339,0.9373644502012581
Lasso,0.001762184645457221,0.8732370427126098,0.9288252204606829
Linear Regression,0.0023162005206957465,0.7810011437390736,0.9402376021780091
XGBoost,0.002832657198081832,0.6724500197572518,0.9954558076620121
Random Forest,0.0028967902101516047,0.6574502735253492,0.9849254227273614
