county_label,donation_ratio,housing_burden,price_income_ratio,log_total_count,avg_invoice_value,carrier_usage_ratio,n_active_industries,industry_hhi,county,cluster,pc1,pc2
0,0.0015363137246324143,38.49775510204082,0.11979591836734695,16.16038077547891,544.584430958263,0.35083429114143844,48.326530612244895,0.5361502935626458,南投縣,0,-0.9803506966199583,0.5305726378474835
1,0.0033043416645854654,47.30102040816327,0.15244897959183673,18.375018062397146,821.8786815630183,0.39880287632851724,74.9795918367347,0.5046127744002822,台中市,0,1.9491116837646127,1.8868184036581295
2,0.018785780464364032,65.00938775510204,0.013469387755102038,19.042320018517714,1099.4475036593183,0.6075071579644878,81.55102040816327,0.2790104077924246,台北市,1,7.443964116931251,-2.1465942297838954
3,0.0023845931393174716,37.86714285714286,0.11938775510204083,17.879619456553403,563.1675767315495,0.35975220388166795,72.6734693877551,0.5086491002732292,台南市,0,0.5175558409414237,1.435160179487535
4,0.0018595690406878408,33.474489795918366,0.016326530612244896,15.509577440351404,417.0537654411274,0.38730799839371605,34.0,0.5022924310270306,台東縣,0,-1.6232664092849736,-1.6092569101855356
5,0.0032533908046480185,29.58204081632653,0.1410204081632653,16.067535098890545,557.4252321033438,0.37861681432859823,34.91836734693877,0.41621115862396446,嘉義市,0,-0.7610773291820744,-0.05838145639643026
6,0.0017323468303807143,26.674285714285713,0.13020408163265307,15.931253532037394,420.01195727333334,0.29459804380422167,39.44897959183673,0.6505332279695965,嘉義縣,0,-2.86671167010806,0.956622628704831
7,0.005232338943693578,27.100408163265307,-0.04918367346938775,16.112414391466395,410.35407777024295,0.36970108754280917,38.97959183673469,0.5639966467019902,基隆市,0,-1.682485735342107,-2.050637720345382
8,0.001798511473168596,36.7365306122449,-0.024693877551020406,16.25319463302416,461.22876181061275,0.3485500576432665,50.48979591836735,0.5745811151368745,宜蘭縣,0,-1.3744904542672787,-1.096157099643809
9,0.002032126364404433,28.054081632653062,0.09408163265306123,16.71183660823946,478.3583072288834,0.33484578759714995,46.42857142857143,0.5564301151310861,屏東縣,0,-1.5456949408102933,0.4663374428176373
10,0.002569007974955951,37.66836734693877,0.04693877551020409,17.004342673757108,571.7377334746667,0.3489380120049501,59.89795918367347,0.5430315441978125,彰化縣,0,-0.3772929791595806,0.14827938667107632
11,0.008507136972134552,53.84142857142857,0.08673469387755102,18.69187736591643,531.9625331332535,0.423991724710505,74.3265306122449,0.4865459247518489,新北市,0,2.6203638548063513,0.34746470054719575
12,0.0024410309675976325,33.33408163265307,0.08918367346938776,16.80427537118636,1206.7686216044203,0.4402562033546717,55.91836734693877,0.5116538120369385,新竹市,0,0.9916266141441368,0.48390279495218974
13,0.002648404286368535,38.91571428571429,0.07938775510204081,16.725438077652775,607.5516159221722,0.3958115351080292,55.142857142857146,0.6061517335841672,新竹縣,0,-0.4557869862003032,0.2832665071753308
14,0.003587909348570833,34.053877551020406,0.08530612244897959,18.130910594026194,731.5704230390144,0.3720919178314787,69.89795918367346,0.5452669021032137,桃園市,0,0.6364533206112014,1.1397988671613282
15,0.0017035603492530573,37.162244897959184,0.015306122448979591,15.936070114557069,442.26613228285765,0.37535277394781164,38.3469387755102,0.5868769547016786,花蓮縣,0,-1.662000944571233,-1.1052513362415541
16,0.0028130142280280916,33.27530612244898,-0.030204081632653063,16.415423879404667,463.9666254459367,0.37633376200006463,52.42857142857143,0.5730872773425222,苗栗縣,0,-1.1289681545032375,-1.2638627367788478
17,0.003747203054087531,30.317755102040817,0.0636734693877551,16.400845954956743,512.3904939365342,0.3560428588862149,49.285714285714285,0.5375817307776434,雲林縣,0,-1.0623901524190842,-0.2001374180092999
18,0.0056724305703280825,37.792857142857144,0.13510204081632654,18.205540798167053,814.7573589124473,0.35868452969926967,77.18367346938776,0.5303751694467886,高雄市,0,1.3614410212692103,1.8520553583620187
