county_label,month,housing_burden,price_income_ratio,total_county_invoice_count,total_county_invoice_amount,donation_count,donation_ratio,carrier_usage_ratio,n_active_industries,industry_hhi,date,year,month_num,month_sin,month_cos,avg_invoice_value,log_total_count,log_total_amount,county_type,donation_seasonal,donation_trend,donation_ratio_lag1,donation_ratio_lag2,donation_ratio_lag3,donation_ratio_roll3
0,2019-01,32.5,0.88,7857715,3411803313,7467,0.0009502762571561,0.17154872631547466,34.0,0.5875995439161948,2019-01-01,2019,1,0.49999999999999994,0.8660254037844387,434.1978950623686,15.877006536935587,21.950506819545,agricultural,-0.00034270708591671616,0.0013090108700472235,,,,
0,2019-02,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,0.155602705129886,34.0,0.6020457109825523,2019-02-01,2019,2,0.8660254037844386,0.5000000000000001,382.07972118967115,15.910220689198516,21.855849847461553,agricultural,-0.0005247146681699459,0.001246386950367968,0.0009502762571561,,,0.0009502762571561
0,2019-03,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,0.17860445567450672,34.0,0.5716490282306805,2019-03-01,2019,3,1.0,6.123233995736766e-17,397.50475239177405,15.90194695351322,21.88715371942228,agricultural,-0.00028239618343452107,0.0011836944908231479,0.0007523003883376,0.0009502762571561,,0.00085128832274685
0,2019-04,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,0.17640455831422647,34.0,0.5792421561411466,2019-04-01,2019,4,0.8660254037844387,-0.4999999999999998,409.45214105561286,15.911948341742129,21.926768243952875,agricultural,-0.00020656717694714598,0.001120914925397666,0.0008803208081672,0.0007523003883376,0.0009502762571561,0.0008609658178869668
0,2019-05,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,0.1811207845376461,34.0,0.5920432874521919,2019-05-01,2019,5,0.49999999999999994,-0.8660254037844387,417.76930168599694,15.892326029538365,21.92725527483401,agricultural,-5.3132450874999085e-05,0.001058034300125549,0.0009151874290828,0.0008803208081672,0.0007523003883376,0.0008492695418625333
0,2019-06,33.14,0.16,8276003,3420238416,7564,0.0009139677692238,0.17911786643866612,34.0,0.5840621519611164,2019-06-01,2019,6,1.2246467991473532e-16,-1.0,413.27177092613425,15.928870801172732,21.952976098164214,agricultural,-7.359459804774601e-05,0.0009950413812446774,0.0009937313087901,0.0009151874290828,0.0008803208081672,0.0009297465153467001
0,2019-07,36.25,0.76,8830019,3816397679,7726,0.0008749698047082,0.17994038291423836,35.0,0.5750425841384288,2019-07-01,2019,7,-0.4999999999999997,-0.8660254037844388,432.2071876629031,15.99366783758324,22.062572798939044,agricultural,-6.855621719928208e-05,0.000931930723928486,0.0009139677692238,0.0009937313087901,0.0009151874290828,0.0009409621690322332
0,2019-08,36.25,0.76,8282195,3667584240,8005,0.0009665312154567,0.18785841193065364,35.0,0.5840317017699609,2019-08-01,2019,8,-0.8660254037844385,-0.5000000000000004,442.82756443189277,15.929618708588832,22.022799037315433,agricultural,9.510143491805613e-05,0.0008687024109123083,0.0008749698047082,0.0009139677692238,0.0009937313087901,0.0009275562942406999
0,2019-09,36.25,0.76,8472901,3638490923,8590,0.001013820414047,0.18983498095870588,36.0,0.5837306216640668,2019-09-01,2019,9,-1.0,-1.8369701987210297e-16,429.42681886640713,15.952383628962409,22.014834851313786,agricultural,0.00019498678589136947,0.0008053513367232926,0.0009665312154567,0.0008749698047082,0.0009139677692238,0.0009184895964629
0,2019-10,33.23,-0.73,8811422,3716962795,8694,0.0009866738875972,0.19326131468904792,36.0,0.5813009199133131,2019-10-01,2019,10,-0.8660254037844386,0.5000000000000001,421.83461364124884,15.991559505868116,22.03617271906427,agricultural,0.00022902165184882545,0.0007418497377850174,0.001013820414047,0.0009665312154567,0.0008749698047082,0.0009517738114039666
0,2019-11,33.23,-0.73,8263299,3563372297,8118,0.000982416344852,0.19415550617253471,36.0,0.5742704400033705,2019-11-01,2019,11,-0.5000000000000004,0.8660254037844384,431.22877400418406,15.927334581450497,21.993973208147892,agricultural,0.00028900641984220193,0.0006780674311035603,0.0009866738875972,0.001013820414047,0.0009665312154567,0.0009890085057003
0,2019-12,33.23,-0.73,8117947,3687753554,7676,0.0009455592651688,0.20400675195341877,36.0,0.5764770773471279,2019-12-01,2019,12,-2.4492935982947064e-16,1.0,454.2716962798599,15.909587970841864,22.02828331692641,agricultural,0.00032040980006760344,0.0006135933651984831,0.000982416344852,0.0009866738875972,0.001013820414047,0.0009943035488320668
0,2020-01,34.04,0.2,9085666,5053629512,0,0.0,0.18658588154132014,34.0,0.6082643666252893,2020-01-01,2020,1,0.49999999999999994,0.8660254037844387,556.2200406662539,16.02220867483898,22.343372537526964,agricultural,-0.0001595850609887558,0.0005543605228122485,0.0009455592651688,0.000982416344852,0.0009866738875972,0.0009715498325393333
0,2022-01,36.08,0.07,16179943,11376841225,9226,0.0005702121447523,0.31987275851342617,47.0,0.5353324131372965,2022-01-01,2022,1,0.49999999999999994,0.8660254037844387,703.1447036000066,16.59928300852559,23.154845654706513,agricultural,0.0001675530560199951,0.0006599975027387863,,,,
0,2022-02,36.08,0.07,15752046,10031363758,8930,0.0005669104826128,0.3125837113477195,48.0,0.5096650604345718,2022-02-01,2022,2,0.8660254037844386,0.5000000000000001,636.8292574818535,16.572480883044744,23.028982397673456,agricultural,-0.00019175530246191497,0.0007022219175580288,0.0005702121447523,,,0.0005702121447523
0,2022-03,36.08,0.07,16850976,10789109473,11764,0.0006981198003011,0.3369590580391308,49.0,0.4977629366961249,2022-03-01,2022,3,1.0,6.123233995736766e-17,640.2661467798661,16.63991919527759,23.101803080280337,agricultural,6.448904112525423e-05,0.000746669280686163,0.0005669104826128,0.0005702121447523,,0.00056856131368255
0,2022-04,37.56,0.17,16327193,10556504354,11199,0.0006859109217365,0.3414852755155157,48.0,0.5271963961565114,2022-04-01,2022,4,0.8660254037844387,-0.4999999999999998,646.5596599488963,16.608342619196097,23.080008033434364,agricultural,0.0001839330082163097,0.0007933208068713174,0.0006981198003011,0.0005669104826128,0.0005702121447523,0.0006117474758887334
0,2022-05,37.56,0.17,14726343,9544096377,12297,0.000835034196881,0.36024259383337737,48.0,0.5290293908439656,2022-05-01,2022,5,0.49999999999999994,-0.8660254037844387,648.0968409468665,16.50514855668142,22.979188619972682,agricultural,5.2155309741169756e-05,0.000841557143278842,0.0006859109217365,0.0006981198003011,0.0005669104826128,0.0006503137348834666
0,2022-06,37.56,0.17,15896019,10331353334,14659,0.0009221805786719,0.35500001604175235,52.0,0.5305503500041714,2022-06-01,2022,6,1.2246467991473532e-16,-1.0,649.9333785396205,16.581579321391157,23.058449121661447,agricultural,5.8227938727251486e-05,0.0008911728248666207,0.000835034196881,0.0006859109217365,0.0006981198003011,0.0007396883063062
