feature,importance
month_num,0.13036919
county_label_2,0.102334596
carrier_usage_ratio,0.07518265
county_label_11,0.07103737
row_count_per_county_month,0.069219336
time_index,0.06802135
month_sin,0.06167096
donation_count_roll3_max,0.060330622
month_cos,0.047301225
donation_count_lag1,0.040140484
county_label_18,0.031826343
county_label_4,0.028526444
county_label_1,0.027438877
industry_entropy,0.02320954
county_label_14,0.019374168
donation_count_roll3_min,0.018331386
county_label_15,0.014789516
county_label_6,0.014478812
donation_count_roll3_mean,0.013695919
county_label_5,0.011829096
county_label_0,0.008853613
county_label_3,0.0075274883
county_label_8,0.0072311126
log_total_county_invoice_amount,0.0071924888
housing_burden,0.004562735
county_label_12,0.003981873
county_label_10,0.0032940516
price_income_ratio,0.002861766
log_total_county_invoice_count,0.0025807964
county_label_17,0.002416806
n_active_industries,0.0023613463
total_county_invoice_count,0.0022596517
county_label_9,0.0020691857
total_county_invoice_amount,0.0020568017
donation_count_lag3,0.001877144
industry_hhi,0.0018294033
donation_count_roll3_std,0.0018215548
county_label_7,0.0014263703
avg_invoice_value,0.0013942143
county_label_16,0.0009929182
top3_industry_share,0.00065085094
top1_industry_share,0.0005803027
donation_count_lag2,0.00056503736
county_label_13,0.00050478755
