weighting,candidate,rmse,mae,smape,epsilon_mape,r2
unweighted,baseline_like,1200524.4942307507,437558.75,97.20470548507636,61.44209811506999,-0.14915049076080322
unweighted,conservative,1148562.1378262476,415293.75,144.76551491661306,134.89269883835638,-0.051825881004333496
unweighted,deeper,1144628.3038820943,416182.375,89.89185191713112,65.79603318088594,-0.04463326930999756
unweighted,regularized,1130562.142992591,402029.71875,70.00492333630072,57.581607525507444,-0.01911628246307373
weighted,baseline_like,1197448.3121037,432011.96875,88.10227207996155,56.565021403358244,-0.14326906204223633
weighted,conservative,1129791.3746103747,405550.09375,141.76543991688703,131.70406048354005,-0.017727255821228027
weighted,deeper,1143731.8506433228,412193.125,89.1831314199316,65.04816484062486,-0.04299759864807129
weighted,regularized,1089748.7311119018,386033.71875,65.66335840046402,54.35168933092499,0.05313599109649658
