feature,mean_abs_shap
housing_burden,0.0028335147
donation_ratio_lag1,0.00059853005
industry_hhi,0.00053779775
donation_ratio_lag3,0.00021944713
donation_ratio_lag2,0.00019702704
donation_seasonal,0.00012910417
log_total_count,0.000114774404
month_sin,9.379432e-05
month_cos,6.5292435e-05
n_active_industries,3.4581015e-05
donation_ratio_roll3,3.2009786e-05
log_total_amount,1.1119073e-05
carrier_usage_ratio,9.401184e-06
avg_invoice_value,3.7346952e-06
price_income_ratio,2.394749e-06
county_type_agricultural,0.0
county_type_metropolitan,0.0
county_type_remote,0.0
