feature,importance
month_num,0.15268248
county_label_2,0.097711325
time_index,0.08562262
donation_count_roll3_max,0.07853681
county_label_11,0.07508109
donation_count_lag1,0.06918741
row_count_per_county_month,0.06480999
month_sin,0.035056338
county_label_18,0.03387151
carrier_usage_ratio,0.030925224
county_label_1,0.029304432
county_label_4,0.027350867
n_active_industries,0.025398063
county_label_14,0.021693176
county_label_15,0.019291984
county_label_6,0.018128807
donation_count_lag3,0.014626336
county_label_0,0.013400709
donation_count_roll3_min,0.012603828
month_cos,0.0110931285
county_label_8,0.010439828
county_label_16,0.009546544
county_label_3,0.008258755
donation_count_roll3_mean,0.0063030235
housing_burden,0.0051335576
total_county_invoice_count,0.004457442
top1_industry_share,0.0041201054
top3_industry_share,0.0038040723
county_label_5,0.003361294
county_label_10,0.0032989907
industry_hhi,0.0032768988
industry_entropy,0.002696622
county_label_7,0.0026301125
avg_invoice_value,0.0024344616
county_label_17,0.0021967946
donation_count_lag2,0.0020948257
donation_count_roll3_std,0.0018101064
price_income_ratio,0.001747604
log_total_county_invoice_count,0.0015911205
total_county_invoice_amount,0.0012914552
county_label_9,0.0011591152
log_total_county_invoice_amount,0.0011465761
county_label_12,0.0007506628
county_label_13,7.389419e-05
