feature,importance
month_num,0.1633165
county_label_2,0.10565947
row_count_per_county_month,0.08767369
time_index,0.082266614
donation_count_roll3_max,0.07736366
county_label_11,0.07688099
carrier_usage_ratio,0.055157483
donation_count_lag1,0.039535176
county_label_18,0.033337966
county_label_4,0.029319383
county_label_1,0.028693702
month_sin,0.022812719
county_label_14,0.019807419
county_label_15,0.01905146
county_label_6,0.017672757
n_active_industries,0.01689186
county_label_12,0.016111195
month_cos,0.014564571
county_label_0,0.01122167
county_label_8,0.008938177
donation_count_roll3_min,0.0075057214
county_label_3,0.0067156744
county_label_5,0.006103877
donation_count_roll3_mean,0.005843216
industry_entropy,0.0052686026
log_total_county_invoice_amount,0.0035565374
donation_count_lag2,0.003438949
county_label_10,0.0034261828
housing_burden,0.0030209746
donation_count_lag3,0.0029404056
log_total_county_invoice_count,0.0028611002
price_income_ratio,0.0027932168
donation_count_roll3_std,0.002411864
county_label_17,0.0023559954
industry_hhi,0.0023067563
total_county_invoice_amount,0.0020458472
avg_invoice_value,0.0019105035
total_county_invoice_count,0.0018732722
county_label_9,0.0017745307
top1_industry_share,0.00174214
county_label_7,0.0012709424
top3_industry_share,0.0011471636
county_label_13,0.00071230443
county_label_16,0.00069782964
