county_label,month,housing_burden,price_income_ratio,total_county_invoice_count,total_county_invoice_amount,donation_count,donation_ratio,carrier_usage_ratio,n_active_industries,industry_hhi,date,year,month_num,month_sin,month_cos,avg_invoice_value,log_total_count,log_total_amount,county_type,donation_seasonal,donation_trend,donation_ratio_lag1,donation_ratio_lag2,donation_ratio_lag3,donation_ratio_roll3,county_name
1,2019-01,39.97,0.28,71712735,43207280539,142706,0.0019899673328593,0.1620706280411701,66.0,0.5447828343923057,2019-01-01,2019,1,0.49999999999999994,0.8660254037844387,602.5049879773794,18.088178918805447,24.48927484901524,metropolitan,-0.000998700184198313,0.0029957532932610854,,,,,台中市
1,2019-02,39.97,0.28,65231607,37505004795,120008,0.0018397216551786,0.1508419837027777,67.0,0.5534276010851141,2019-02-01,2019,2,0.8660254037844386,0.5000000000000001,574.9514157301077,17.993454694702535,24.347740222244287,metropolitan,-0.0010148377985937619,0.0028611077339040325,0.0019899673328593,,,0.0019899673328593,台中市
1,2019-03,39.97,0.28,72328601,40660278165,145434,0.0020107398455003,0.17059225298716893,67.0,0.5405300864204319,2019-03-01,2019,3,1.0,6.123233995736766e-17,562.1604400311849,18.096730210559038,24.42851748639227,metropolitan,-0.0007209305978692268,0.0027264267503761745,0.0018397216551786,0.0019899673328593,,0.00191484449401895,台中市
1,2019-04,38.0,-0.48,72288137,43247205931,152179,0.0021051725264409,0.17039916245178652,70.0,0.546451613083868,2019-04-01,2019,4,0.8660254037844387,-0.49999999999999983,598.2614537569283,18.09617060727859,24.49019846550913,metropolitan,-0.0004937260196314204,0.0025917195099233585,0.0020107398455003,0.0018397216551786,0.0019899673328593,0.0019468096111794001,台中市
1,2019-05,38.0,-0.48,74486109,42679292127,160900,0.0021601343144397,0.17174870820544538,68.0,0.5525469483284202,2019-05-01,2019,5,0.49999999999999994,-0.8660254037844387,572.9832407677518,18.12612322301412,24.476979677675413,metropolitan,-0.0002928450738920456,0.002456991694884107,0.0021051725264409,0.0020107398455003,0.0018397216551786,0.001985211342373267,台中市
1,2019-06,38.0,-0.48,75090950,42683972535,157568,0.0020983620529504,0.16970477800587155,69.0,0.5497472952019931,2019-06-01,2019,6,1.2246467991473532e-16,-1.0,568.4303173018852,18.134210616798107,24.477089336274414,metropolitan,-0.00023328997602082085,0.0023222420060450564,0.0021601343144397,0.0021051725264409,0.0020107398455003,0.002092015562126967,台中市
1,2019-07,38.49,0.12,78733016,46616790761,179854,0.0022843529835056,0.1760148753859499,70.0,0.535958788544932,2019-07-01,2019,7,-0.4999999999999998,-0.8660254037844388,592.0869430557569,18.181573155269813,24.565226629960623,metropolitan,9.274773777350975e-05,0.0021874612116846784,0.0020983620529504,0.0021601343144397,0.0021051725264409,0.0021212229646103333,台中市
1,2019-08,38.49,0.12,76380703,45318671766,178413,0.0023358386738074,0.17729036874667153,71.0,0.5371642635236078,2019-08-01,2019,8,-0.8660254037844384,-0.5000000000000004,593.3261934758574,18.1512406567917,24.536984964799416,metropolitan,0.0002865350721332663,0.0020526178574543637,0.0022843529835056,0.0020983620529504,0.0021601343144397,0.0021809497836319,台中市
1,2019-09,38.49,0.12,75745879,47325869761,176978,0.002336470344479,0.18486074998218716,68.0,0.5472849001909068,2019-09-01,2019,9,-1.0,-1.8369701987210297e-16,624.7979478989214,18.14289461143565,24.580322912362085,metropolitan,0.0004134698155637791,0.0019176363068766954,0.0023358386738074,0.0022843529835056,0.0020983620529504,0.0022395179034211334,台中市
1,2019-10,40.16,0.41,78351700,51620832297,181808,0.002320409129604,0.19562702532299875,69.0,0.5472779604860626,2019-10-01,2019,10,-0.8660254037844386,0.5000000000000001,658.8348727213322,18.176718236805048,24.667191154663655,metropolitan,0.0005400872099588956,0.0017823528753456372,0.002336470344479,0.0023358386738074,0.0022843529835056,0.0023188873339306665,台中市
1,2019-11,40.16,0.41,73028913,45704700995,177025,0.0024240399141638,0.19334347753471287,68.0,0.5456224397324041,2019-11-01,2019,11,-0.5000000000000004,0.8660254037844384,625.8439173947447,18.106366002884602,24.545466995989443,metropolitan,0.0007790227863559051,0.0016464306545364415,0.002320409129604,0.002336470344479,0.0023358386738074,0.0023309060492968,台中市
