county_label,county_name,county_english_name,month,cluster,plot_group,pc1,pc2
1,台中市,Taichung,2019-01,1,1,2.1889887065641505,-2.643044566849581
1,台中市,Taichung,2019-02,1,1,2.1822017593499172,-2.789358024828463
1,台中市,Taichung,2019-03,1,1,2.1932984235435837,-2.5924860599443997
1,台中市,Taichung,2019-04,1,1,-10.787912008221028,-1.8402971613858912
1,台中市,Taichung,2019-05,1,1,-10.788728169422592,-1.8724110677874528
1,台中市,Taichung,2019-06,1,1,-10.78954566514966,-1.8877812476253095
1,台中市,Taichung,2019-07,1,1,-0.5362234797922912,-2.346594889084244
1,台中市,Taichung,2019-08,1,1,-0.5349504976333678,-2.3274703891388113
1,台中市,Taichung,2019-09,1,1,-0.5318159095726027,-2.2547349756157127
1,台中市,Taichung,2019-10,1,1,4.43097065113713,-2.3565430373740694
1,台中市,Taichung,2019-11,1,1,4.428863596685399,-2.418873236455991
1,台中市,Taichung,2019-12,1,1,4.436699742391187,-2.245165379837161
1,台中市,Taichung,2020-01,1,1,1.0079437355144534,-2.2426921749385733
1,台中市,Taichung,2022-01,1,1,4.021946922361609,-0.29073796436887445
1,台中市,Taichung,2022-02,1,1,4.024705940063431,-0.30970263785550506
1,台中市,Taichung,2022-03,1,1,4.0347165778541845,-0.11069211029077088
1,台中市,Taichung,2022-04,1,1,-4.671665334898411,0.41923820337685963
1,台中市,Taichung,2022-05,1,1,-4.665764749201287,0.5016102503539605
1,台中市,Taichung,2022-06,1,1,-4.663959364852359,0.569860145126538
1,台中市,Taichung,2022-07,1,1,0.9707737515203197,0.16040712521534095
1,台中市,Taichung,2022-08,1,1,0.9782425589413232,0.31966339768113267
1,台中市,Taichung,2022-09,1,1,0.9812867912716184,0.42961599202130085
1,台中市,Taichung,2022-10,1,1,-6.355923504904463,0.9469653224479834
1,台中市,Taichung,2022-11,1,1,-6.351967971045868,1.039158170365973
1,台中市,Taichung,2022-12,1,1,-6.346861485468451,1.1207704791293793
1,台中市,Taichung,2023-01,1,1,1.5130714534739922,0.5455624588209396
1,台中市,Taichung,2023-02,1,1,1.527284462885909,0.7911335295606968
1,台中市,Taichung,2023-03,1,1,1.5319659980235796,0.86797151743591
1,台中市,Taichung,2023-04,1,1,1.194222162857654,0.9316983344191446
1,台中市,Taichung,2023-05,1,1,1.1981597434606197,1.0045639076976551
1,台中市,Taichung,2023-06,1,1,1.2006232040169753,1.066976642831941
1,台中市,Taichung,2023-07,1,1,0.8610454467052261,1.1366607228753263
1,台中市,Taichung,2023-08,1,1,0.8676726480933287,1.29888050848837
1,台中市,Taichung,2023-09,1,1,0.8696594250649335,1.3715808612612812
1,台中市,Taichung,2023-10,1,1,-2.3688382774835857,1.649883138787876
1,台中市,Taichung,2023-11,1,1,-2.3657620211438535,1.7212007796827862
1,台中市,Taichung,2023-12,1,1,-2.3609083618907425,1.876005971217658
1,台中市,Taichung,2024-01,1,1,7.722326263621779,1.3468628213756706
1,台中市,Taichung,2024-02,1,1,7.719702982162751,1.2500952855813852
1,台中市,Taichung,2024-03,1,1,7.731501091970858,1.4716290796396878
1,台中市,Taichung,2024-04,1,1,3.8088983741726574,1.7409433013665099
1,台中市,Taichung,2024-05,1,1,3.8134346855731667,1.8554378420370194
1,台中市,Taichung,2024-06,1,1,3.8139828209127136,1.890827786802923
1,台中市,Taichung,2024-07,1,1,2.7926816109806905,1.9658139045090428
1,台中市,Taichung,2024-08,1,1,2.7936535883091955,1.965858292644176
1,台中市,Taichung,2024-09,1,1,2.802529815265578,2.2346535936894147
1,台中市,Taichung,2024-10,1,1,-2.4885689930474877,2.529998520330912
1,台中市,Taichung,2024-11,1,1,-2.4880028446038316,2.5482406894164993
1,台中市,Taichung,2024-12,1,1,-2.4835479089901145,2.716319475959438
2,台北市,Taipei,2019-01,0,1,4.557361274319043,-3.278426638358735
2,台北市,Taipei,2019-02,0,1,4.552220065180448,-3.446017395686805
2,台北市,Taipei,2019-03,0,1,4.559972810565617,-3.312972798285885
2,台北市,Taipei,2019-04,0,1,4.729988378285454,-3.319891693298087
2,台北市,Taipei,2019-05,0,1,4.731338623738672,-3.302467093038903
2,台北市,Taipei,2019-06,0,1,4.730525507475049,-3.319421141138874
2,台北市,Taipei,2019-07,0,1,-12.689722451386983,-2.2846558547435425
2,台北市,Taipei,2019-08,0,1,-12.687818884314886,-2.2631623185086047
2,台北市,Taipei,2019-09,0,1,-12.675199982012932,-2.0156068417234096
2,台北市,Taipei,2019-10,0,1,3.220165508033242,-2.669458912255974
2,台北市,Taipei,2019-11,0,1,3.2343838888665597,-2.427290847176154
2,台北市,Taipei,2019-12,0,1,3.2317213517208128,-2.452545696670967
2,台北市,Taipei,2020-01,0,1,-0.3928088215280616,-2.3443821919278647
2,台北市,Taipei,2022-01,0,1,-1.4163336040160275,0.6307071258056098
2,台北市,Taipei,2022-02,0,1,-1.4121385929738473,0.6000404866916124
2,台北市,Taipei,2022-03,0,1,-1.4160367571699461,0.6112130003657491
2,台北市,Taipei,2022-04,0,1,-1.0645094897513154,0.7721357591787128
2,台北市,Taipei,2022-05,0,1,-1.0501816058964732,1.0385753858607405
2,台北市,Taipei,2022-06,0,1,-1.0566422970339344,0.8617076109426214
2,台北市,Taipei,2022-07,0,1,0.29718207297106747,0.5008452995988935
2,台北市,Taipei,2022-08,0,1,0.30194863406994943,0.5979042114736149
2,台北市,Taipei,2022-09,0,1,0.30826500882074637,0.7485691745243462
2,台北市,Taipei,2022-10,0,1,-7.55005601756256,1.1783016489698548
2,台北市,Taipei,2022-11,0,1,-7.542134372139906,1.3210069246861178
2,台北市,Taipei,2022-12,0,1,-7.545395500315968,1.3116878499492768
2,台北市,Taipei,2023-01,0,1,-9.579519483528939,1.2252232371188603
2,台北市,Taipei,2023-02,0,1,-9.570499972227113,1.357573328703596
2,台北市,Taipei,2023-03,0,1,-9.567278961443838,1.4519837346887492
2,台北市,Taipei,2023-04,0,1,4.945749254477977,0.522621120685988
2,台北市,Taipei,2023-05,0,1,4.9493925944552215,0.5903960522003432
2,台北市,Taipei,2023-06,0,1,4.952094253401847,0.6512896059276185
2,台北市,Taipei,2023-07,0,1,2.385831904575898,0.6933953135307407
2,台北市,Taipei,2023-08,0,1,2.3934924424392974,0.8504883152355726
2,台北市,Taipei,2023-09,0,1,2.3923236876081595,0.8511272983768151
2,台北市,Taipei,2023-10,0,1,0.5190094884943006,1.0601674648796953
2,台北市,Taipei,2023-11,0,1,0.5277188930969736,1.2309970001704027
2,台北市,Taipei,2023-12,0,1,0.5220992361329987,1.140758565722412
2,台北市,Taipei,2024-01,0,1,6.166829652139857,0.9116283152928463
2,台北市,Taipei,2024-02,0,1,6.164883223896942,0.8015420756739288
2,台北市,Taipei,2024-03,0,1,6.168316276672509,0.9161257239635875
2,台北市,Taipei,2024-04,0,1,4.634692751063472,1.0394180543520335
2,台北市,Taipei,2024-05,0,1,4.635096119664246,1.059892190564996
2,台北市,Taipei,2024-06,0,1,4.639937763653562,1.1269821618070215
2,台北市,Taipei,2024-07,0,1,3.9580997875162724,1.1696859386979799
2,台北市,Taipei,2024-08,0,1,3.957944793560757,1.1764782973609222
2,台北市,Taipei,2024-09,0,1,3.959687879602102,1.2474487843158988
2,台北市,Taipei,2024-10,0,1,-3.0387072534562796,1.7110828348616118
2,台北市,Taipei,2024-11,0,1,-3.0351648237008257,1.7473544594862926
2,台北市,Taipei,2024-12,0,1,-3.0381242560392105,1.7299450711487618
15,花蓮縣,Hualien,2019-01,2,0,-6.946654858923044,-1.87657488980171
15,花蓮縣,Hualien,2019-02,2,0,-6.962239641548223,-2.1758866541295525
15,花蓮縣,Hualien,2019-03,2,0,-6.946216968620065,-1.8957417082015144
15,花蓮縣,Hualien,2019-04,2,0,9.454324512945618,-2.7637525746694136
15,花蓮縣,Hualien,2019-05,2,0,9.456873344456207,-2.7243665883833925
15,花蓮縣,Hualien,2019-06,2,0,9.449794080165589,-2.845860247596366
15,花蓮縣,Hualien,2019-07,2,0,-15.827716614832138,-1.340898688939101
15,花蓮縣,Hualien,2019-08,2,0,-15.829016617822347,-1.3702564460804931
15,花蓮縣,Hualien,2019-09,2,0,-15.8200947353228,-1.2177421639032677
15,花蓮縣,Hualien,2019-10,2,0,0.4112097404906701,-2.002636452126289
15,花蓮縣,Hualien,2019-11,2,0,0.4088689596926048,-2.0622283018040397
15,花蓮縣,Hualien,2019-12,2,0,0.4148636272923525,-1.9518813115885083
15,花蓮縣,Hualien,2020-01,2,0,-13.095974136710051,-1.3496851377403334
