feature,mean_abs_shap,coefficient,pca_loading
price_income_ratio,4.240721207884528,0.9982878536722413,0.9982878536722406
carrier_usage_ratio,0.06328372127654439,0.05141162304832631,0.051411623048326575
housing_burden,0.008624514486054538,0.021465242691988993,0.02146524269199046
donation_ratio,0.00578472668263139,0.014733077934936167,0.014733077934934462
avg_invoice_value,0.002410171382693563,0.005362893659033893,0.005362893659033868
n_active_industries,0.0019021422869234248,0.007843225361524825,0.007843225361525073
industry_hhi,0.0007704738985436095,-0.0031335281063117116,-0.003133528106311956
log_total_count,0.00012090250094763631,-0.0005386890413416594,-0.0005386890413418842
