county_code,county_name,month,actual_donation_ratio,predicted_donation_ratio,invoice_count,expected_donated_count,normalized_priority_score,rank,model_name
2,台北市,2024-05,0.0229261342604628,0.024205455663429243,178599146,4323073.710029326,1.0,1,Ridge
2,台北市,2024-07,0.0237509811057909,0.022973776673872078,179297688,4119145.0422535934,0.9527127734232164,2,Ridge
2,台北市,2024-11,0.0238701612615164,0.022131492268128335,185696567,4109742.1367784753,0.9505324163084875,3,Ridge
2,台北市,2024-06,0.0238527598546631,0.023552040763505047,174431178,4108210.2146822046,0.95017719235663,4,Ridge
2,台北市,2024-08,0.0233831583482942,0.02239434222165399,183443397,4108094.210720735,0.9501502932174867,5,Ridge
2,台北市,2023-05,0.0238366411066339,0.023698579682078565,168545559,3994290.360021974,0.9237613184254727,6,Ridge
2,台北市,2024-12,0.0236805935965678,0.021321070750347518,186912671,3985178.2825274286,0.9216483988552648,7,Ridge
2,台北市,2023-07,0.0230027642927473,0.022943849755985422,172601473,3960142.2641737745,0.915843016584187,8,Ridge
2,台北市,2024-04,0.0232152372769777,0.02328363421583321,169902851,3955955.834911212,0.9148722622942399,9,Ridge
2,台北市,2023-08,0.0230793552541415,0.022571296240898063,174927157,3948332.681225085,0.913104596180803,10,Ridge
2,台北市,2024-03,0.023639623180607,0.02247105346393334,175684907,3947824.938003157,0.9129868600672882,11,Ridge
2,台北市,2024-10,0.0238559122968505,0.02211205904769481,176730529,3907875.89277834,0.903723427055753,12,Ridge
2,台北市,2023-06,0.0238027336359308,0.02352642556988764,165014366,3882198.1996611976,0.8977692524630236,13,Ridge
2,台北市,2024-09,0.0229973426442951,0.021814526207149347,175689690,3832587.3468309445,0.8862654277970793,14,Ridge
2,台北市,2024-01,0.0239797662930429,0.021945419183554783,172945472,3795360.8789377366,0.8776333093160456,15,Ridge
2,台北市,2023-11,0.0234132595363328,0.021266719547102984,177204673,3768562.0831270926,0.8714191720723476,16,Ridge
2,台北市,2023-10,0.0230345115493965,0.0213388479916391,172957694,3690717.9412504295,0.8533685781330727,17,Ridge
2,台北市,2023-04,0.0236730099314099,0.02325359032220771,157588199,3664491.4191605425,0.8472871404131471,18,Ridge
2,台北市,2023-09,0.0226829279214693,0.02172355537911099,168377822,3657764.940831093,0.8457273964678853,19,Ridge
2,台北市,2023-12,0.02291502884212,0.020478482432483215,178266195,3650621.1426131274,0.844070883881223,20,Ridge
2,台北市,2024-02,0.0238940941237424,0.02300160058629399,154611553,3556313.188132624,0.8222026411267669,21,Ridge
