feature,importance
month_num,0.15465514
county_label_2,0.1016975
donation_count_roll3_max,0.09263634
time_index,0.08703029
row_count_per_county_month,0.08339983
county_label_11,0.06850912
carrier_usage_ratio,0.045101885
month_sin,0.03825123
county_label_18,0.03228894
n_active_industries,0.031387635
donation_count_lag1,0.028320676
county_label_4,0.027965063
county_label_1,0.02547849
county_label_6,0.018254012
county_label_15,0.017385978
county_label_14,0.015976356
donation_count_roll3_mean,0.015017329
month_cos,0.01429862
donation_count_roll3_min,0.012490559
county_label_12,0.010289698
county_label_0,0.01022302
county_label_8,0.008804533
county_label_3,0.006911802
housing_burden,0.0051102904
county_label_5,0.0050264555
county_label_10,0.004386996
donation_count_lag3,0.0039360668
avg_invoice_value,0.0036035844
industry_entropy,0.0033926128
industry_hhi,0.0030619542
total_county_invoice_count,0.0029429188
log_total_county_invoice_count,0.0028664935
top1_industry_share,0.0025076377
log_total_county_invoice_amount,0.0023916347
county_label_17,0.002354773
price_income_ratio,0.0021213316
top3_industry_share,0.0017819874
total_county_invoice_amount,0.0017422378
donation_count_roll3_std,0.0016291442
county_label_7,0.001351517
county_label_16,0.0012430798
county_label_9,0.0011258355
county_label_13,0.0005500674
donation_count_lag2,0.00049926795
