model,test_RMSE,test_R2,train_R2
Ridge,0.0021574648419591053,0.9186077689534142,0.9437082485466992
Lasso,0.002667104535253348,0.8756128335935678,0.9305124787796271
Linear Regression,0.003607062176628176,0.7724888132693595,0.9545341232347728
XGBoost,0.00561463427341579,0.44876289457086804,0.9973931632844483
Random Forest,0.006666447301027087,0.22288659698793944,0.9867591799685013
