pipeline,target,transform,train_rows,valid_rows,feature_count,rmse,mae,smape,epsilon_mape,r2,note
raw_row_baseline,donation_count,identity,47346,48460,118,249590.30135003242,120502.59375,38.88197295200575,30.6973994663905,0.9462850093841553,Raw rows with one-hot categories
county_month_baseline,donation_count,identity,361,456,16,267281.76186189736,99280.296875,39.75740464333233,44.60446319260705,0.9147511720657349,Existing county-month matrix
hybrid_county_month,donation_count,identity,361,456,17,289546.7230551919,102552.15625,44.30969920343545,36.761641673648185,0.8999569416046143,County-month target with richer structural stats
county_month_baseline,donation_count,log1p,361,456,16,503785.4141278804,153899.5625,66.02299038894792,40.07640027137733,0.6971406936645508,Existing county-month matrix with log1p target
raw_row_baseline,donation_count,log1p,47346,48460,118,602477.6576770295,203662.703125,66.86219659638672,41.70268782712374,0.6870158910751343,Raw rows with one-hot categories and log1p target
hybrid_county_month,donation_count,log1p,361,456,17,511866.1425021194,165624.96875,70.27070567101394,43.41582457304686,0.6873470544815063,County-month target with richer structural stats and log1p target
county_month_baseline,donation_ratio,identity,361,456,17,0.003560038748474402,0.0019010905493094842,37.35305923119057,27.270067604422035,0.48263268686882854,Existing county-month matrix
hybrid_county_month,donation_ratio,identity,361,456,17,0.0037271240285341005,0.00203036638564195,42.94066001895744,30.021710687348452,0.4329292753650742,County-month target with richer structural stats
raw_row_baseline,donation_ratio,identity,47346,48460,118,0.0045301331342836966,0.002429519590578754,50.164702912408465,33.11146641219969,0.3503921634936028,Raw rows with one-hot categories
