model,rmse,mae,smape,r2
Historical Baseline,50502.79266805793,23113.744152046787,10.324295741463189,0.9958622339062616
Final Ensemble,71580.02230751539,32620.194739991566,15.73922435068789,0.9904162931559882
Calibrated XGBoost,93718.14153781785,42367.12454066517,21.909755694060436,0.9816551712207922
Log-XGBoost,224452.75569582265,85693.86648900068,29.87416879126972,0.8568443812786951
