county_label,month,housing_burden,price_income_ratio,total_county_invoice_count,total_county_invoice_amount,donation_count,carrier_usage_ratio,n_active_industries,industry_hhi,industry_entropy,top1_industry_share,top3_industry_share,row_count_per_county_month,date,year,month_num,month_sin,month_cos,time_index,avg_invoice_value,log_total_county_invoice_count,log_total_county_invoice_amount,county_name,donation_count_lag1,donation_count_lag2,donation_count_lag3,donation_count_roll3_mean,donation_count_roll3_std,donation_count_roll3_min,donation_count_roll3_max
0,2019-01,32.5,0.88,7857715,3411803313,7467,0.17154872631547466,34.0,0.5875995439161948,1.040063512453751,0.7582418043922438,0.9010816757797909,56.0,2019-01-01,2019,1,0.49999999999999994,0.8660254037844387,1,434.1978950623686,15.877006536935587,21.950506819545,南投縣,,,,,,,
0,2019-02,32.5,0.88,8123085,3103666052,6111,0.155602705129886,34.0,0.6020457109825523,1.0050213379105633,0.7677738199218647,0.9026472085420749,58.0,2019-02-01,2019,2,0.8660254037844386,0.5000000000000001,2,382.07972118967115,15.910220689198516,21.855849847461553,南投縣,7467.0,,,7467.0,0.0,7467.0,7467.0
0,2019-03,32.5,0.88,8056154,3202359501,7092,0.17860445567450672,34.0,0.5716490282306805,1.0676843484272727,0.7465075766923026,0.8993056736502306,58.0,2019-03-01,2019,3,1.0,6.123233995736766e-17,3,397.50475239177405,15.90194695351322,21.88715371942228,南投縣,6111.0,7467.0,,6789.0,678.0,6111.0,7467.0
0,2019-04,33.14,0.16,8137131,3331765710,7447,0.17640455831422647,34.0,0.5792421561411466,1.0559397423479666,0.752069863444499,0.8978553989114837,58.0,2019-04-01,2019,4,0.8660254037844387,-0.4999999999999998,4,409.45214105561286,15.911948341742129,21.926768243952875,南投縣,7092.0,6111.0,7467.0,6890.0,571.7149639461958,6111.0,7467.0
0,2019-05,33.14,0.16,7979018,3333388778,7929,0.1811207845376461,34.0,0.5920432874521919,1.0170825195839401,0.7606299421808549,0.9067134577212385,56.0,2019-05-01,2019,5,0.49999999999999994,-0.8660254037844387,5,417.76930168599694,15.892326029538365,21.92725527483401,南投縣,7447.0,7092.0,6111.0,6883.333333333333,565.025269838045,6111.0,7447.0
0,2019-06,33.14,0.16,8276003,3420238416,7564,0.17911786643866612,34.0,0.5840621519611164,1.0457674479422294,0.7553079669014137,0.8990532023731747,57.0,2019-06-01,2019,6,1.2246467991473532e-16,-1.0,6,413.27177092613425,15.928870801172732,21.952976098164214,南投縣,7929.0,7447.0,7092.0,7489.333333333333,343.01247142859916,7092.0,7929.0
0,2019-07,36.25,0.76,8830019,3816397679,7726,0.17994038291423836,35.0,0.5750425841384288,1.0726955691620685,0.7492632801809374,0.8931791652996443,60.0,2019-07-01,2019,7,-0.4999999999999997,-0.8660254037844388,7,432.2071876629031,15.99366783758324,22.062572798939044,南投縣,7564.0,7929.0,7447.0,7646.666666666667,205.2743421754301,7447.0,7929.0
0,2019-08,36.25,0.76,8282195,3667584240,8005,0.18785841193065364,35.0,0.5840317017699609,1.0427641888195247,0.7550547892195245,0.9010694628658225,58.0,2019-08-01,2019,8,-0.8660254037844384,-0.5000000000000004,8,442.82756443189277,15.929618708588832,22.022799037315433,南投縣,7726.0,7564.0,7929.0,7739.666666666667,149.32366040100794,7564.0,7929.0
0,2019-09,36.25,0.76,8472901,3638490923,8590,0.18983498095870588,36.0,0.5837306216640668,1.0476791482182448,0.7551034763654149,0.8990169954777,61.0,2019-09-01,2019,9,-1.0,-1.8369701987210297e-16,9,429.42681886640713,15.952383628962409,22.014834851313786,南投縣,8005.0,7726.0,7564.0,7765.0,182.13731083992647,7564.0,8005.0
0,2019-10,33.23,-0.73,8811422,3716962795,8694,0.19326131468904792,36.0,0.5813009199133131,1.0600949004835802,0.753764602353627,0.8951649347857815,61.0,2019-10-01,2019,10,-0.8660254037844386,0.5000000000000001,10,421.83461364124884,15.991559505868116,22.03617271906427,南投縣,8590.0,8005.0,7726.0,8107.0,360.0249991320047,7726.0,8590.0
0,2019-11,33.23,-0.73,8263299,3563372297,8118,0.19415550617253471,36.0,0.5742704400033705,1.0849085180096183,0.7491960535374552,0.8891799752132895,61.0,2019-11-01,2019,11,-0.5000000000000004,0.8660254037844384,11,431.22877400418406,15.927334581450497,21.993973208147892,南投縣,8694.0,8590.0,8005.0,8429.666666666666,303.27142225332665,8005.0,8694.0
0,2019-12,33.23,-0.73,8117947,3687753554,7676,0.20400675195341877,36.0,0.5764770773471279,1.080473016733094,0.7508798714748939,0.8917364205506639,61.0,2019-12-01,2019,12,-2.4492935982947064e-16,1.0,12,454.2716962798599,15.909587970841864,22.02828331692641,南投縣,8118.0,8694.0,8590.0,8467.333333333334,250.63829626686254,8118.0,8694.0
0,2020-01,34.04,0.2,9085666,5053629512,0,0.18658588154132014,34.0,0.6082643666252893,0.996478500427324,0.7721108171927077,0.9039941595916028,59.0,2020-01-01,2020,1,0.49999999999999994,0.8660254037844387,13,556.2200406662539,16.02220867483898,22.343372537526964,南投縣,7676.0,8118.0,8694.0,8162.666666666667,416.7951801811319,7676.0,8694.0
0,2022-01,36.08,0.07,16179943,11376841225,9226,0.31987275851342617,47.0,0.5353324131372965,1.1827743811003055,0.7206538366667917,0.8759140251606573,139.0,2022-01-01,2022,1,0.49999999999999994,0.8660254037844387,37,703.1447036000066,16.59928300852559,23.154845654706513,南投縣,,,,,,,
0,2022-02,36.08,0.07,15752046,10031363758,8930,0.3125837113477195,48.0,0.5096650604345718,1.2555226630990037,0.7018237503877274,0.8513275672252353,144.0,2022-02-01,2022,2,0.8660254037844386,0.5000000000000001,38,636.8292574818535,16.572480883044744,23.028982397673456,南投縣,9226.0,,,9226.0,0.0,9226.0,9226.0
0,2022-03,36.08,0.07,16850976,10789109473,11764,0.3369590580391308,49.0,0.4977629366961249,1.2733204562062133,0.6929079953588445,0.8594387055088085,144.0,2022-03-01,2022,3,1.0,6.123233995736766e-17,39,640.2661467798661,16.63991919527759,23.101803080280337,南投縣,8930.0,9226.0,,9078.0,148.0,8930.0,9226.0
0,2022-04,37.56,0.17,16327193,10556504354,11199,0.3414852755155157,48.0,0.5271963961565114,1.19913626079908,0.7142704199062264,0.8729311278429795,145.0,2022-04-01,2022,4,0.8660254037844387,-0.4999999999999998,40,646.5596599488963,16.608342619196097,23.080008033434364,南投縣,11764.0,8930.0,9226.0,9973.333333333334,1271.9458409154936,8930.0,11764.0
0,2022-05,37.56,0.17,14726343,9544096377,12297,0.36024259383337737,48.0,0.5290293908439656,1.1730390459824354,0.7148578571068187,0.8814091862453564,144.0,2022-05-01,2022,5,0.49999999999999994,-0.8660254037844387,41,648.0968409468665,16.50514855668142,22.979188619972682,南投縣,11199.0,11764.0,8930.0,10631.0,1224.7059511028215,8930.0,11764.0
0,2022-06,37.56,0.17,15896019,10331353334,14659,0.35500001604175235,52.0,0.5305503500041714,1.1791498398131657,0.7161883110481939,0.8776433269235524,148.0,2022-06-01,2022,6,1.2246467991473532e-16,-1.0,42,649.9333785396205,16.581579321391157,23.058449121661447,南投縣,12297.0,11199.0,11764.0,11753.333333333334,448.32007415337637,11199.0,12297.0
0,2022-07,38.07,0.01,18612230,11657690069,16415,0.34294735235917456,53.0,0.5145259929839318,1.23953890565962,0.7051838495440901,0.8599922201692113,154.0,2022-07-01,2022,7,-0.4999999999999997,-0.8660254037844388,43,626.3456914620118,16.739329503217174,23.179231891038818,南投縣,14659.0,12297.0,11199.0,12718.333333333334,1443.6161385754717,11199.0,14659.0
