month,rows,xgb_log_rmse,xgb_log_mae,xgb_log_smape,xgb_log_epsilon_mape,xgb_log_r2,calibrated_xgb_rmse,calibrated_xgb_mae,calibrated_xgb_smape,calibrated_xgb_epsilon_mape,calibrated_xgb_r2,historical_baseline_rmse,historical_baseline_mae,historical_baseline_smape,historical_baseline_epsilon_mape,historical_baseline_r2,ensemble_rmse,ensemble_mae,ensemble_smape,ensemble_epsilon_mape,ensemble_r2
2023-01,19,905614.8929568713,341324.82999280095,199.98143573699767,99.99535843764312,-0.16557105224425128,254536.3161339408,97336.05210243876,33.057628044337314,41.110048981639636,0.9079230023765811,110312.89697484365,36130.385964912304,14.140252828457081,14.085037707118982,0.9827056509161765,194626.04579184647,68550.5732503437,22.101010943169243,25.594458326955593,0.9461663831207546
2023-02,19,508170.7670647121,180799.34662828947,69.30443563374484,137.22193156243267,0.6119890924007455,88757.86242984532,33050.37095222465,30.806572973463553,29.426229578824728,0.9881630926887169,110518.07933141643,34932.12280701753,12.82301133509872,13.403871256038515,0.9816476689156057,97021.17505003519,32926.04170907312,22.456155542680378,22.818689960363074,0.9858564757880836
2023-03,19,108416.2221122845,53435.44405324836,28.057405811021944,23.958908357755558,0.9863204445350635,58460.01096373227,31955.297195677143,19.069573155802203,15.157047379050837,0.9960225820428403,71130.73427419378,32436.947368421064,18.406528594217825,16.015638398260162,0.9941115901705404,32168.220282514274,19598.740387469312,17.542458274901914,14.425235817456484,0.9987956921606514
2023-04,19,461851.54429033323,124171.0138774671,21.670001927789915,22.11166620919378,0.6955191457337233,344340.44397700595,93194.87140972489,21.057333288681185,17.03417677242501,0.8307489937483722,25520.840820650497,10636.438596491218,8.137937167220285,7.528531433909625,0.9990702950426898,216433.52942888753,59790.893974458944,14.156421612033819,12.09706715874453,0.9331341649743109
2023-05,19,342604.58131732466,89822.3865131579,10.561911016920243,10.368672561765214,0.8550740526281717,74254.91138853104,34016.35791928974,18.339584727648877,15.0913062949905,0.9931921467708169,49113.72373403781,26793.666666666653,16.153630162724,14.775541191180428,0.9970217198851588,36436.01822273524,23447.219467521838,16.717824034631036,14.663951456061541,0.9983608389071696
2023-06,19,98443.80668554422,43696.99953741776,16.908804637850295,16.15033359577517,0.9875892190116561,71800.05825893246,25615.24720543191,6.698302503449142,6.359259420134396,0.9933980549209176,19496.065393271365,8600.473684210529,4.042015480783772,3.983758998879759,0.9995132384563973,48165.09382484391,18280.8949724207,4.785559125140106,4.666361108001387,0.9970291061473052
2023-07,19,191273.20746123028,72683.91051603618,22.543069741272205,22.931005922403767,0.9548420242668112,50214.75125804492,35034.36616786467,31.73556645272643,49.81089073618699,0.9968876472313127,47963.04351256604,23102.9298245614,11.185240953727776,11.436682905315314,0.9971605145223121,35767.5857556586,24367.791245747798,23.984317697035813,32.905761506769764,0.9984209152520691
2023-08,19,126607.53184741945,56190.04420230263,19.116169371412592,17.075628116444246,0.9809977762740658,64458.89383753109,31394.449795652916,11.18798439837982,10.396303224943935,0.995074491885804,47189.84862414365,19028.947368421057,7.513203631642736,7.35668118142927,0.997360130183557,56607.860617651495,25864.83120683398,8.638075109863097,8.190545211330999,0.996201266508049
2023-09,19,192003.1559523106,63484.25159333881,16.54509575879756,14.585020622369397,0.9511252076608743,67577.93819891439,23467.305288785767,10.416031515633627,9.640101137988822,0.993945503042165,39093.2021651631,16496.052631578943,9.032668139236339,8.423513424915681,0.9979738542569173,54990.55023105285,17921.378541094673,8.976743924046293,8.392113701379687,0.9959909237059535
2023-10,19,58243.08450704326,34866.51876027961,18.91023236235057,16.519391544715617,0.9958722050006924,26432.71482508518,16860.484244982617,11.724680928670546,10.731205334752987,0.9991498159990782,18434.719864099814,11361.403508771928,8.433233915913277,7.751818696175401,0.9995864743320741,23094.22123302306,14631.442671543404,10.242842225325482,9.48550498480886,0.9993510129503125
2023-11,19,175859.9294261044,71240.14982524671,17.98690041856142,16.174769925096246,0.9652735802547034,64260.87615089313,28970.969090862174,13.508747945126501,12.301204437266067,0.995363187801064,50691.085455655004,20926.54385964913,8.541004504755001,8.020610714947948,0.9971147104478171,58354.28240730604,24987.12668407068,11.139281815199384,10.289108008806915,0.9961764067439141
2023-12,19,28278.605949358986,17302.679019325657,10.778192723475462,10.03398224187942,0.9990768521534006,70068.72822672754,31642.40542886372,19.12236523194423,16.835000402688507,0.9943323406635061,30947.57938337114,15660.789473684208,7.9142514810397175,7.319313609580881,0.9988943729901669,51157.66542822036,25239.204660826992,14.299224356988951,13.004661329292984,0.9969788192900321
2024-01,19,960419.3555459991,338364.5945723684,57.44173001637938,49.37297398927861,-0.03138933087925988,214336.0061734571,78249.26873667024,28.16357127705085,25.84643665849074,0.9486321847619614,24436.29860312427,13568.368421052632,7.536503974285206,7.066598465136092,0.9993323149170139,137305.77533986073,51115.089385417,16.732570119221496,16.072376430971254,0.9789196199426772
2024-02,19,287963.53048683447,75445.02487664473,14.31784730794864,14.509266930404776,0.8852153713838816,76291.40840509214,29755.736722409714,12.579386477870088,12.05436511218829,0.9919432475588557,102418.87306349596,38975.035087719305,12.212462145429834,13.30860659410371,0.9854799289898873,85584.50474957933,31703.687761821893,11.508725625832477,11.791147238413357,0.9898609085953586
2024-03,19,102926.2233994258,43671.23581414474,18.829696830717968,16.83274649968257,0.9881464514775328,65819.73628227615,39713.780646853986,24.428960254184325,20.837520615277008,0.9951526030863419,49901.4303876837,29488.771929824554,17.138815385017438,15.429478269223843,0.9972137357971652,58679.02204109003,34619.56989104251,20.939879278191754,18.40158282426307,0.9961473279649133
2024-04,19,69779.14971939167,36871.36430921053,18.148757452764166,16.690467082671574,0.9940221160698014,31891.167418949884,22468.663094374093,15.635365131774446,13.637944438366691,0.9987513607947309,23089.617645673374,15412.438596491222,8.760996836970921,8.208520530579179,0.9993454699132839,27573.59381002639,19645.022418027984,12.582169328701742,11.460312026586465,0.9990665675830082
2024-05,19,135540.1841717116,64567.93390213816,21.211766839103262,18.764196307793107,0.9783185446504095,62025.860526311466,39950.867875922304,18.832779855398112,16.972455962584974,0.9954595605947646,67359.85833266348,42182.49122807018,17.356149489385437,15.75262674870852,0.9946450598917776,63784.32683926593,40843.517216781445,18.1332002118435,16.484524277034392,0.9951984634337041
2024-06,19,96700.5084341947,53696.08203125,22.891421787148666,20.816244777843085,0.9892862666718694,60497.274613471745,34500.941118873,11.66584416849386,10.838783266443178,0.9958067096207077,48911.64225775779,22605.47368421052,5.479286000914453,5.509671142706317,0.997259007753056,54988.07953050761,29412.33641457992,8.472629825447322,8.15010598441016,0.9965356606926074
2024-07,19,78024.12720134153,48400.673828125,20.146439743645843,18.014725975548817,0.9933928633531517,65303.27655207334,31264.01145746788,13.759327162898378,12.855270316823246,0.9953716585076866,49912.10606808777,23911.19298245613,10.286789597259375,9.523586922242954,0.9972962455858784,58604.84294546312,26723.02711166959,10.488085043725642,9.772948343701351,0.9962724587065993
2024-08,19,92939.22100392851,48171.40111019737,15.16366665565694,14.198525488050866,0.990774114828673,65564.40636639157,41883.48148374516,44.70414768954921,28.89586043866778,0.9954085880981183,37074.26533868892,18547.631578947377,4.993049565971923,4.883388508954191,0.9985319018324325,50711.32948195116,29897.705936271923,22.556516757670348,18.067570679031245,0.9972532446326722
2024-09,19,68081.6259737154,43070.77878289474,19.39126108324858,17.138471469245275,0.9943616401033065,76746.76517540611,51999.69445189016,36.28060954300999,30.970460693443417,0.9928350508353825,55534.033929101555,32542.052631578972,12.642166810535088,11.619715271416535,0.9962484443132668,61478.45225642269,44126.897372888474,25.61801499221858,22.970825922506105,0.9954023193149135
