feature,importance
month_sin,0.19739759
carrier_usage_ratio,0.16086067
county_label_2,0.0984973
month_num,0.082905345
county_label_11,0.0639836
row_count_per_county_month,0.050051842
donation_count_lag1,0.03671966
month_cos,0.036124926
industry_entropy,0.0351183
county_label_18,0.02994095
county_label_1,0.024820298
county_label_4,0.024541931
county_label_14,0.01785984
county_label_15,0.01306237
county_label_6,0.0123232305
time_index,0.01090152
donation_count_lag3,0.009994105
donation_count_roll3_mean,0.009909298
industry_hhi,0.00967428
donation_count_roll3_min,0.00946759
county_label_3,0.0077465097
county_label_8,0.0070592444
county_label_0,0.006634306
county_label_12,0.0059430553
total_county_invoice_amount,0.0058869165
log_total_county_invoice_count,0.005263481
county_label_5,0.004480663
donation_count_roll3_max,0.0043975604
log_total_county_invoice_amount,0.002245607
county_label_10,0.0021579599
county_label_17,0.001930194
housing_burden,0.0017884315
n_active_industries,0.0017852574
donation_count_lag2,0.0013891057
donation_count_roll3_std,0.0012351827
price_income_ratio,0.000918973
county_label_7,0.0007900838
avg_invoice_value,0.0007362165
county_label_16,0.00069136376
county_label_9,0.000655679
top3_industry_share,0.0006353103
top1_industry_share,0.0006043257
total_county_invoice_count,0.0005181798
county_label_13,0.00035178888
