month,industry_invoice_count,industry_invoice_amount,housing_burden,price_income_ratio,total_county_invoice_count,total_county_invoice_amount,donation_count,donation_ratio,industry_label,carrier_type_label,county_label,date,year
2019-01,-0.16073297888970442,-0.25543749782947917,-2.0088923944914887,2.3737520344338554,-1.1748078359634913,-1.2635521785623915,-1.3832499772509619,0.0009502762571561,0,1,0,2019-01-01,2019
2019-01,-0.20088273375875634,-0.2781612174179279,-2.0088923944914887,2.3737520344338554,-1.1748078359634913,-1.2635521785623915,-1.3832499772509619,0.0009502762571561,0,0,0,2019-01-01,2019
2019-01,-0.20483507649196586,-0.2722883421920001,-2.0088923944914887,2.3737520344338554,-1.1748078359634913,-1.2635521785623915,-1.3832499772509619,0.0009502762571561,1,1,0,2019-01-01,2019
2019-01,-0.205058250671801,-0.27843981002971435,-2.0088923944914887,2.3737520344338554,-1.1748078359634913,-1.2635521785623915,-1.3832499772509619,0.0009502762571561,2,1,0,2019-01-01,2019
2019-01,-0.2050078565021608,-0.2790846694303802,-2.0088923944914887,2.3737520344338554,-1.1748078359634913,-1.2635521785623915,-1.3832499772509619,0.0009502762571561,4,0,0,2019-01-01,2019
2019-01,-0.08934603801082353,0.05252366218004637,-2.0088923944914887,2.3737520344338554,-1.1748078359634913,-1.2635521785623915,-1.3832499772509619,0.0009502762571561,4,1,0,2019-01-01,2019
2019-01,-0.20517163755349144,-0.2765578045056313,-2.0088923944914887,2.3737520344338554,-1.1748078359634913,-1.2635521785623915,-1.3832499772509619,0.0009502762571561,6,1,0,2019-01-01,2019
2019-01,-0.20335924723821733,-0.2688004936187456,-2.0088923944914887,2.3737520344338554,-1.1748078359634913,-1.2635521785623915,-1.3832499772509619,0.0009502762571561,8,1,0,2019-01-01,2019
2019-01,-0.2038757874770293,-0.2642402105886637,-2.0088923944914887,2.3737520344338554,-1.1748078359634913,-1.2635521785623915,-1.3832499772509619,0.0009502762571561,9,1,0,2019-01-01,2019
2019-01,-0.205283224643409,-0.27954782771196796,-2.0088923944914887,2.3737520344338554,-1.1748078359634913,-1.2635521785623915,-1.3832499772509619,0.0009502762571561,9,0,0,2019-01-01,2019
2019-01,-0.200502977694682,-0.2621923880082972,-2.0088923944914887,2.3737520344338554,-1.1748078359634913,-1.2635521785623915,-1.3832499772509619,0.0009502762571561,10,1,0,2019-01-01,2019
