feature,importance
month_num,0.15004602
county_label_2,0.14472033
carrier_usage_ratio,0.13520803
county_label_11,0.090024136
row_count_per_county_month,0.06618141
time_index,0.05562644
county_label_18,0.041340504
donation_count_lag1,0.036421962
county_label_1,0.03283228
county_label_4,0.028737593
month_sin,0.028394798
county_label_14,0.02501716
donation_count_roll3_min,0.019186337
county_label_6,0.016050413
industry_entropy,0.014986609
county_label_15,0.013492924
month_cos,0.010057762
county_label_0,0.00929172
donation_count_roll3_max,0.0077228816
county_label_3,0.0076674735
county_label_8,0.00722764
log_total_county_invoice_amount,0.0063359234
n_active_industries,0.00629818
donation_count_roll3_mean,0.0060898936
industry_hhi,0.005049823
county_label_5,0.0047628502
total_county_invoice_count,0.004466159
housing_burden,0.0041896896
total_county_invoice_amount,0.0034258927
county_label_10,0.0028589447
county_label_17,0.0025136608
donation_count_roll3_std,0.0019594522
county_label_7,0.0014811269
top1_industry_share,0.0013108704
top3_industry_share,0.0012751917
county_label_9,0.0012260772
price_income_ratio,0.0011769688
donation_count_lag3,0.0009746511
county_label_12,0.00091127516
log_total_county_invoice_count,0.00080983737
county_label_16,0.00073735404
donation_count_lag2,0.00072038
avg_invoice_value,0.0007036011
county_label_13,0.00048785273
