month,industry_invoice_count,industry_invoice_amount,housing_burden,price_income_ratio,total_county_invoice_count,total_county_invoice_amount,donation_count,donation_ratio,industry_label,carrier_type_label,county_label
2019-02,248,2172032,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,1,1,0
2019-02,81,123100,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,2,1,0
2019-02,81030,105360047,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,4,1,0
2019-02,307,261812,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,4,0,0
2019-02,65,503255,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,6,1,0
2019-02,922,1222815,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,8,1,0
2019-02,14,1639,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,9,0,0
2019-02,498,2060645,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,9,1,0
2019-02,14746,23029926,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,10,0,0
2019-02,285,410504,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,10,1,0
2019-02,6,2949,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,12,0,0
2019-02,1126,1368958,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,12,1,0
2019-02,191,1453000,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,19,0,0
2019-02,13,243820,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,19,1,0
2019-02,82,201108495,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,24,1,0
2019-02,1550,1641328,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,29,0,0
2019-02,2675,2981285,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,29,1,0
2019-02,9458,15058025,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,42,0,0
2019-02,233,316818,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,42,1,0
2019-02,83354,104340338,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,44,1,0
2019-02,4044,14237685,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,44,0,0
