county_label,month,donation_ratio,housing_burden,donation_ratio_lag1,industry_hhi,donation_ratio_lag3,donation_ratio_lag2
1,2019-01,0.0019899673328593,39.97,,0.5447828343923057,,
1,2019-02,0.0018397216551786,39.97,0.0019899673328593,0.5534276010851141,,
1,2019-03,0.0020107398455003,39.97,0.0018397216551786,0.5405300864204319,,0.0019899673328593
1,2019-04,0.0021051725264409,38.0,0.0020107398455003,0.546451613083868,0.0019899673328593,0.0018397216551786
1,2019-05,0.0021601343144397,38.0,0.0021051725264409,0.5525469483284202,0.0018397216551786,0.0020107398455003
1,2019-06,0.0020983620529504,38.0,0.0021601343144397,0.5497472952019931,0.0020107398455003,0.0021051725264409
1,2019-07,0.0022843529835056,38.49,0.0020983620529504,0.535958788544932,0.0021051725264409,0.0021601343144397
1,2019-08,0.0023358386738074,38.49,0.0022843529835056,0.5371642635236078,0.0021601343144397,0.0020983620529504
1,2019-09,0.002336470344479,38.49,0.0023358386738074,0.5472849001909068,0.0020983620529504,0.0022843529835056
1,2019-10,0.002320409129604,40.16,0.002336470344479,0.5472779604860626,0.0022843529835056,0.0023358386738074
1,2019-11,0.0024240399141638,40.16,0.002320409129604,0.5456224397324041,0.0023358386738074,0.002336470344479
1,2019-12,0.0024085064212179,40.16,0.0024240399141638,0.5354352540008308,0.002336470344479,0.002320409129604
1,2020-01,0.0,40.99,0.0024085064212179,0.5382910329478505,0.002320409129604,0.0024240399141638
1,2022-01,0.001719484941792,45.08,,0.49365223421845306,,
1,2022-02,0.0017583397042095,45.08,0.001719484941792,0.48780645656547805,,
1,2022-03,0.001824889736244,45.08,0.0017583397042095,0.4794886143589527,,0.001719484941792
1,2022-04,0.0018533676578996,45.54,0.001824889736244,0.4945086726694271,0.001719484941792,0.0017583397042095
1,2022-05,0.0019883044966981,45.54,0.0018533676578996,0.49312479731776354,0.0017583397042095,0.001824889736244
1,2022-06,0.0019234267245546,45.54,0.0019883044966981,0.49328162400511777,0.001824889736244,0.0018533676578996
1,2022-07,0.001916802862558,46.96,0.0019234267245546,0.5003543281728822,0.0018533676578996,0.0019883044966981
1,2022-08,0.0019591108520449,46.96,0.001916802862558,0.4947810335875937,0.0019883044966981,0.0019234267245546
1,2022-09,0.0019251125454143,46.96,0.0019591108520449,0.5049140375620522,0.0019234267245546,0.001916802862558
1,2022-10,0.0019012725067118,46.53,0.0019251125454143,0.5007801047860184,0.001916802862558,0.0019591108520449
1,2022-11,0.0019579336721708,46.53,0.0019012725067118,0.496058628878733,0.0019591108520449,0.0019251125454143
