county_label,month,donation_ratio,housing_burden,donation_ratio_lag1,industry_hhi,donation_ratio_lag3,donation_ratio_lag2
0,2019-01,0.0009502762571561,32.5,,0.5875995439161948,,
0,2019-02,0.0007523003883376,32.5,0.0009502762571561,0.6020457109825523,,
0,2019-03,0.0008803208081672,32.5,0.0007523003883376,0.5716490282306805,,0.0009502762571561
0,2019-04,0.0009151874290828,33.14,0.0008803208081672,0.5792421561411466,0.0009502762571561,0.0007523003883376
0,2019-05,0.0009937313087901,33.14,0.0009151874290828,0.5920432874521919,0.0007523003883376,0.0008803208081672
0,2019-06,0.0009139677692238,33.14,0.0009937313087901,0.5840621519611164,0.0008803208081672,0.0009151874290828
0,2019-07,0.0008749698047082,36.25,0.0009139677692238,0.5750425841384288,0.0009151874290828,0.0009937313087901
0,2019-08,0.0009665312154567,36.25,0.0008749698047082,0.5840317017699609,0.0009937313087901,0.0009139677692238
0,2019-09,0.001013820414047,36.25,0.0009665312154567,0.5837306216640668,0.0009139677692238,0.0008749698047082
0,2019-10,0.0009866738875972,33.23,0.001013820414047,0.5813009199133131,0.0008749698047082,0.0009665312154567
0,2019-11,0.000982416344852,33.23,0.0009866738875972,0.5742704400033705,0.0009665312154567,0.001013820414047
0,2019-12,0.0009455592651688,33.23,0.000982416344852,0.5764770773471279,0.001013820414047,0.0009866738875972
0,2020-01,0.0,34.04,0.0009455592651688,0.6082643666252893,0.0009866738875972,0.000982416344852
0,2022-01,0.0005702121447523,36.08,,0.5353324131372965,,
0,2022-02,0.0005669104826128,36.08,0.0005702121447523,0.5096650604345718,,
0,2022-03,0.0006981198003011,36.08,0.0005669104826128,0.4977629366961249,,0.0005702121447523
0,2022-04,0.0006859109217365,37.56,0.0006981198003011,0.5271963961565114,0.0005702121447523,0.0005669104826128
0,2022-05,0.000835034196881,37.56,0.0006859109217365,0.5290293908439656,0.0005669104826128,0.0006981198003011
0,2022-06,0.0009221805786719,37.56,0.000835034196881,0.5305503500041714,0.0006981198003011,0.0006859109217365
0,2022-07,0.0008819469778742,38.07,0.0009221805786719,0.5145259929839318,0.0006859109217365,0.000835034196881
0,2022-08,0.0009717310936676,38.07,0.0008819469778742,0.49973016414371635,0.000835034196881,0.0009221805786719
0,2022-09,0.0010052908078635,38.07,0.0009717310936676,0.5223621351566217,0.0009221805786719,0.0008819469778742
0,2022-10,0.0009301029824027,37.86,0.0010052908078635,0.5124131155870412,0.0008819469778742,0.0009717310936676
0,2022-11,0.0009626232786709,37.86,0.0009301029824027,0.5063887279259612,0.0009717310936676,0.0010052908078635
0,2022-12,0.000976156594502,37.86,0.0009626232786709,0.5161267443490855,0.0010052908078635,0.0009301029824027
0,2023-01,0.0016271696398818,39.7,0.000976156594502,0.5392722549647939,0.0009301029824027,0.0009626232786709
0,2023-02,0.0018273934975917,39.7,0.0016271696398818,0.4716476782891734,0.0009626232786709,0.000976156594502
0,2023-03,0.0020704972131058,39.7,0.0018273934975917,0.49646463077926906,0.000976156594502,0.0016271696398818
0,2023-04,0.0019479267266392,40.13,0.0020704972131058,0.5159066324761306,0.0016271696398818,0.0018273934975917
0,2023-05,0.0023739800018885,40.13,0.0019479267266392,0.5240762173178536,0.0018273934975917,0.0020704972131058
0,2023-06,0.0022519757022789,40.13,0.0023739800018885,0.5231232593797256,0.0020704972131058,0.0019479267266392
0,2023-07,0.0021010426785473,40.45,0.0022519757022789,0.5172681307437126,0.0019479267266392,0.0023739800018885
0,2023-08,0.0022141391214639,40.45,0.0021010426785473,0.5272573996443195,0.0023739800018885,0.0022519757022789
0,2023-09,0.0020892119286263,40.45,0.0022141391214639,0.5367381943523709,0.0022519757022789,0.0021010426785473
0,2023-10,0.0020622247430616,41.86,0.0020892119286263,0.5312029809976099,0.0021010426785473,0.0022141391214639
0,2023-11,0.0021418721504239,41.86,0.0020622247430616,0.5167297185140722,0.0022141391214639,0.0020892119286263
0,2023-12,0.0022744480545255,41.86,0.0021418721504239,0.5215542868750799,0.0020892119286263,0.0020622247430616
0,2024-01,0.0025140559820023,42.17,0.0022744480545255,0.5246258912340592,0.0020622247430616,0.0021418721504239
0,2024-02,0.0020724928080332,42.17,0.0025140559820023,0.5206988875517883,0.0021418721504239,0.0022744480545255
0,2024-03,0.0025004410525496,42.17,0.0020724928080332,0.5068397771222912,0.0022744480545255,0.0025140559820023
0,2024-04,0.002666300303676,42.89,0.0025004410525496,0.5224459350081483,0.0025140559820023,0.0020724928080332
0,2024-05,0.0025499557105584,42.89,0.002666300303676,0.5290320375109909,0.0020724928080332,0.0025004410525496
0,2024-06,0.0025830504032053,42.89,0.0025499557105584,0.5211669632503431,0.0025004410525496,0.002666300303676
0,2024-07,0.0025004501059384,43.21,0.0025830504032053,0.5160643045193322,0.002666300303676,0.0025499557105584
0,2024-08,0.0025244998446835,43.21,0.0025004501059384,0.523740717996123,0.0025499557105584,0.0025830504032053
0,2024-09,0.0027299598609408,43.21,0.0025244998446835,0.5300301205979948,0.0025830504032053,0.0025004501059384
0,2024-10,0.0021834294478596,42.35,0.0027299598609408,0.5246051058247777,0.0025004501059384,0.0025244998446835
0,2024-11,0.0021463532138625,42.35,0.0021834294478596,0.517399741633358,0.0025244998446835,0.0027299598609408
