feature,importance
month_num,0.24920712
time_index,0.19501364
county_label_2,0.10149709
county_label_11,0.07338345
row_count_per_county_month,0.058776975
county_label_18,0.040322833
total_county_invoice_count,0.037498306
county_label_1,0.032224398
n_active_industries,0.028324226
donation_count_roll3_max,0.024064647
county_label_14,0.022224206
log_total_county_invoice_amount,0.015969725
county_label_4,0.011652023
county_label_3,0.01076464
county_label_6,0.008358721
donation_count_roll3_min,0.007913359
donation_count_roll3_mean,0.0076002497
county_label_8,0.00679508
donation_count_lag2,0.0064705233
housing_burden,0.0057628416
county_label_15,0.0057163094
donation_count_lag1,0.005632128
county_label_5,0.0047634495
total_county_invoice_amount,0.0042392905
donation_count_roll3_std,0.0041240747
industry_entropy,0.003691049
top1_industry_share,0.003590093
top3_industry_share,0.0035608876
county_label_0,0.0033375353
county_label_10,0.0028123243
industry_hhi,0.0024760868
log_total_county_invoice_count,0.0020081033
county_label_7,0.0018854417
county_label_17,0.0018338935
price_income_ratio,0.0014775677
county_label_9,0.001393841
county_label_16,0.00071651983
county_label_12,0.00067412294
carrier_usage_ratio,0.0004928072
county_label_13,0.00048365537
month_sin,0.00042617865
avg_invoice_value,0.00034786056
donation_count_lag3,0.0003286091
month_cos,0.0001640854
