feature,importance
carrier_usage_ratio,0.15853563
county_label_2,0.13054475
month_num,0.13005288
county_label_11,0.08006265
row_count_per_county_month,0.07252154
time_index,0.042652473
county_label_18,0.03717083
donation_count_roll3_min,0.03271117
county_label_1,0.030521356
month_sin,0.028353244
county_label_4,0.026317865
donation_count_roll3_max,0.026077751
industry_entropy,0.02473391
donation_count_lag1,0.022664512
county_label_14,0.021507083
donation_count_roll3_mean,0.016704954
county_label_6,0.015982619
county_label_15,0.015663663
month_cos,0.011206638
county_label_3,0.0091811735
county_label_0,0.008499358
county_label_8,0.007948119
industry_hhi,0.007808595
n_active_industries,0.004511028
total_county_invoice_count,0.0044634542
county_label_5,0.0044520125
donation_count_lag3,0.00366208
county_label_10,0.0032152897
county_label_17,0.0026371093
total_county_invoice_amount,0.002567921
housing_burden,0.0024969045
log_total_county_invoice_count,0.002365328
donation_count_lag2,0.002246278
donation_count_roll3_std,0.0019803762
price_income_ratio,0.0014888128
log_total_county_invoice_amount,0.0010746109
avg_invoice_value,0.001050468
county_label_9,0.00094645575
county_label_7,0.0009423067
county_label_16,0.00093841023
top1_industry_share,0.00075620663
top3_industry_share,0.00044284784
county_label_12,0.0003392791
county_label_13,0.0
