month,industry_invoice_count,industry_invoice_amount,housing_burden,price_income_ratio,total_county_invoice_count,total_county_invoice_amount,donation_count,donation_ratio,industry_label,carrier_type_label,county_label,date,year
2019-01,-0.1842261696811296,-0.1915291426185894,-1.172292653471096,-0.439021385851404,-1.240031219955689,-1.3659339245406723,-1.594213751087199,0.0007308469433648,4,1,6,2019-01-01,2019
2019-01,-0.2070345515227904,-0.25888001540125,-1.172292653471096,-0.439021385851404,-1.240031219955689,-1.3659339245406723,-1.594213751087199,0.0007308469433648,4,0,6,2019-01-01,2019
2019-01,-0.20686474848794614,-0.2537523859669035,-1.172292653471096,-0.439021385851404,-1.240031219955689,-1.3659339245406723,-1.594213751087199,0.0007308469433648,6,1,6,2019-01-01,2019
2019-01,-0.2066529511541619,-0.24993925263674,-1.172292653471096,-0.439021385851404,-1.240031219955689,-1.3659339245406723,-1.594213751087199,0.0007308469433648,9,1,6,2019-01-01,2019
2019-01,-0.20695786628124785,-0.2579324961093007,-1.172292653471096,-0.439021385851404,-1.240031219955689,-1.3659339245406723,-1.594213751087199,0.0007308469433648,10,1,6,2019-01-01,2019
2019-01,-0.13265717058283719,0.19873597315492614,-1.172292653471096,-0.439021385851404,-1.240031219955689,-1.3659339245406723,-1.594213751087199,0.0007308469433648,10,0,6,2019-01-01,2019
2019-01,-0.20701264145377823,-0.25883923142461385,-1.172292653471096,-0.439021385851404,-1.240031219955689,-1.3659339245406723,-1.594213751087199,0.0007308469433648,12,0,6,2019-01-01,2019
2019-01,-0.20467921910398298,-0.25258822088530186,-1.172292653471096,-0.439021385851404,-1.240031219955689,-1.3659339245406723,-1.594213751087199,0.0007308469433648,12,1,6,2019-01-01,2019
2019-01,-0.20703820320095911,-0.25887417633204146,-1.172292653471096,-0.439021385851404,-1.240031219955689,-1.3659339245406723,-1.594213751087199,0.0007308469433648,13,1,6,2019-01-01,2019
2019-01,-0.20688300687878963,-0.25797251137168575,-1.172292653471096,-0.439021385851404,-1.240031219955689,-1.3659339245406723,-1.594213751087199,0.0007308469433648,13,0,6,2019-01-01,2019
2019-01,-0.20663104108514976,-0.2509591521671113,-1.172292653471096,-0.439021385851404,-1.240031219955689,-1.3659339245406723,-1.594213751087199,0.0007308469433648,16,1,6,2019-01-01,2019
2019-01,-0.20697977635026,-0.07155087595353078,-1.172292653471096,-0.439021385851404,-1.240031219955689,-1.3659339245406723,-1.594213751087199,0.0007308469433648,19,1,6,2019-01-01,2019
2019-01,-0.20563595878418073,-0.2559907028504048,-1.172292653471096,-0.439021385851404,-1.240031219955689,-1.3659339245406723,-1.594213751087199,0.0007308469433648,19,0,6,2019-01-01,2019
2019-01,-0.20704002904004346,-0.25888712337548947,-1.172292653471096,-0.439021385851404,-1.240031219955689,-1.3659339245406723,-1.594213751087199,0.0007308469433648,28,1,6,2019-01-01,2019
2019-01,-0.2060869410380144,-0.25788617844309,-1.172292653471096,-0.439021385851404,-1.240031219955689,-1.3659339245406723,-1.594213751087199,0.0007308469433648,29,1,6,2019-01-01,2019
2019-01,-0.18535088655708723,-0.2275560258848995,-1.172292653471096,-0.439021385851404,-1.240031219955689,-1.3659339245406723,-1.594213751087199,0.0007308469433648,40,1,6,2019-01-01,2019
2019-01,-0.20685927097069312,-0.25861593573017305,-1.172292653471096,-0.439021385851404,-1.240031219955689,-1.3659339245406723,-1.594213751087199,0.0007308469433648,40,0,6,2019-01-01,2019
2019-01,-0.19265606873355898,-0.1862831417199086,-1.172292653471096,-0.439021385851404,-1.240031219955689,-1.3659339245406723,-1.594213751087199,0.0007308469433648,44,0,6,2019-01-01,2019
2019-01,-0.08481470905569674,0.9596985834406818,-1.172292653471096,-0.439021385851404,-1.240031219955689,-1.3659339245406723,-1.594213751087199,0.0007308469433648,44,1,6,2019-01-01,2019
2019-01,-0.20703637736187475,-0.25888187400488444,-1.172292653471096,-0.439021385851404,-1.240031219955689,-1.3659339245406723,-1.594213751087199,0.0007308469433648,50,1,6,2019-01-01,2019
2019-01,-0.20683736090168095,-0.2555215028382756,-1.172292653471096,-0.439021385851404,-1.240031219955689,-1.3659339245406723,-1.594213751087199,0.0007308469433648,50,0,6,2019-01-01,2019
2019-01,-0.08009308918357579,-0.09386324936511918,-1.172292653471096,-0.439021385851404,-1.240031219955689,-1.3659339245406723,-1.594213751087199,0.0007308469433648,60,0,6,2019-01-01,2019
2019-01,-0.20697977635026,-0.2584371728106339,-1.172292653471096,-0.439021385851404,-1.240031219955689,-1.3659339245406723,-1.594213751087199,0.0007308469433648,67,0,6,2019-01-01,2019
2019-01,-0.20565239133593985,-0.2504176035075567,-1.172292653471096,-0.439021385851404,-1.240031219955689,-1.3659339245406723,-1.594213751087199,0.0007308469433648,67,1,6,2019-01-01,2019
2019-01,-0.20702359648828433,-0.1994606098972601,-1.172292653471096,-0.439021385851404,-1.240031219955689,-1.3659339245406723,-1.594213751087199,0.0007308469433648,69,1,6,2019-01-01,2019
2019-01,-0.20498596007015324,-0.2574119554624983,-1.172292653471096,-0.439021385851404,-1.240031219955689,-1.3659339245406723,-1.594213751087199,0.0007308469433648,70,1,6,2019-01-01,2019
2019-01,-0.20685927097069312,-0.2579655508220972,-1.172292653471096,-0.439021385851404,-1.240031219955689,-1.3659339245406723,-1.594213751087199,0.0007308469433648,73,1,6,2019-01-01,2019
2019-01,-0.20697429883300697,-0.2535845745928592,-1.172292653471096,-0.439021385851404,-1.240031219955689,-1.3659339245406723,-1.594213751087199,0.0007308469433648,76,1,6,2019-01-01,2019
2019-01,-0.20698890554568175,-0.25884673428631105,-1.172292653471096,-0.439021385851404,-1.240031219955689,-1.3659339245406723,-1.594213751087199,0.0007308469433648,76,0,6,2019-01-01,2019
2019-01,-0.20229649909891034,-0.23317037780416697,-1.172292653471096,-0.439021385851404,-1.240031219955689,-1.3659339245406723,-1.594213751087199,0.0007308469433648,79,1,6,2019-01-01,2019
2019-01,-0.20700168641927216,-0.25877481211734005,-1.172292653471096,-0.439021385851404,-1.240031219955689,-1.3659339245406723,-1.594213751087199,0.0007308469433648,79,0,6,2019-01-01,2019
2019-01,-0.20647584476298028,-0.2587863480962723,-1.172292653471096,-0.439021385851404,-1.240031219955689,-1.3659339245406723,-1.594213751087199,0.0007308469433648,80,0,6,2019-01-01,2019
2019-01,-0.10692379452805272,-0.24021402750933368,-1.172292653471096,-0.439021385851404,-1.240031219955689,-1.3659339245406723,-1.594213751087199,0.0007308469433648,80,1,6,2019-01-01,2019
2019-01,-0.20692317533864524,-0.25860812222367574,-1.172292653471096,-0.439021385851404,-1.240031219955689,-1.3659339245406723,-1.594213751087199,0.0007308469433648,84,1,6,2019-01-01,2019
2019-01,-0.15938928061675942,-0.20938888089027397,-1.172292653471096,-0.439021385851404,-1.240031219955689,-1.3659339245406723,-1.594213751087199,0.0007308469433648,87,1,6,2019-01-01,2019
2019-01,-0.08052033552931295,-0.19676132245624905,-1.172292653471096,-0.439021385851404,-1.240031219955689,-1.3659339245406723,-1.594213751087199,0.0007308469433648,87,0,6,2019-01-01,2019
2019-01,0.597567086971757,0.14210581045482218,-1.172292653471096,-0.439021385851404,-1.240031219955689,-1.3659339245406723,-1.594213751087199,0.0007308469433648,88,0,6,2019-01-01,2019
2019-01,7.879327399669495,5.791979151777505,-1.172292653471096,-0.439021385851404,-1.240031219955689,-1.3659339245406723,-1.594213751087199,0.0007308469433648,88,1,6,2019-01-01,2019
2019-01,-0.20704002904004346,-0.25880556068738325,-1.172292653471096,-0.439021385851404,-1.240031219955689,-1.3659339245406723,-1.594213751087199,0.0007308469433648,89,0,6,2019-01-01,2019
2019-01,-0.20423006268923366,-0.23635458177812557,-1.172292653471096,-0.439021385851404,-1.240031219955689,-1.3659339245406723,-1.594213751087199,0.0007308469433648,89,1,6,2019-01-01,2019
2019-01,-0.2028168632379492,-0.25385031805642483,-1.172292653471096,-0.439021385851404,-1.240031219955689,-1.3659339245406723,-1.594213751087199,0.0007308469433648,97,0,6,2019-01-01,2019
2019-01,-0.20699438306293477,-0.24534530043862365,-1.172292653471096,-0.439021385851404,-1.240031219955689,-1.3659339245406723,-1.594213751087199,0.0007308469433648,97,1,6,2019-01-01,2019
2019-01,-0.20694143372948873,-0.251623242302554,-1.172292653471096,-0.439021385851404,-1.240031219955689,-1.3659339245406723,-1.594213751087199,0.0007308469433648,99,0,6,2019-01-01,2019
2019-01,-0.18950284463489198,0.6936022484428422,-1.172292653471096,-0.439021385851404,-1.240031219955689,-1.3659339245406723,-1.594213751087199,0.0007308469433648,99,1,6,2019-01-01,2019
2019-01,-0.18277462760907384,-0.2501793178852198,-1.172292653471096,-0.439021385851404,-1.240031219955689,-1.3659339245406723,-1.594213751087199,0.0007308469433648,101,0,6,2019-01-01,2019
2019-01,1.0603862555892491,0.1638189921683571,-1.172292653471096,-0.439021385851404,-1.240031219955689,-1.3659339245406723,-1.594213751087199,0.0007308469433648,101,1,6,2019-01-01,2019
2019-02,-0.20703272568370606,-0.25879872123661507,-1.172292653471096,-0.439021385851404,-1.2124620783231663,-1.467420763080322,-1.5260127912086818,0.0007768437438547,4,0,6,2019-02-01,2019
2019-02,-0.18143446172116326,-0.1939197596967947,-1.172292653471096,-0.439021385851404,-1.2124620783231663,-1.467420763080322,-1.5260127912086818,0.0007768437438547,4,1,6,2019-02-01,2019
2019-02,-0.20687935520062092,-0.254106205129045,-1.172292653471096,-0.439021385851404,-1.2124620783231663,-1.467420763080322,-1.5260127912086818,0.0007768437438547,6,1,6,2019-02-01,2019
2019-02,-0.20680997331541576,-0.2528870664481589,-1.172292653471096,-0.439021385851404,-1.2124620783231663,-1.467420763080322,-1.5260127912086818,0.0007768437438547,9,1,6,2019-02-01,2019
2019-02,-0.176537561296945,-0.11822365129206967,-1.172292653471096,-0.439021385851404,-1.2124620783231663,-1.467420763080322,-1.5260127912086818,0.0007768437438547,10,0,6,2019-02-01,2019
2019-02,-0.20701264145377823,-0.25863450070585325,-1.172292653471096,-0.439021385851404,-1.2124620783231663,-1.467420763080322,-1.5260127912086818,0.0007768437438547,10,1,6,2019-02-01,2019
2019-02,-0.20701994481011562,-0.258877314371039,-1.172292653471096,-0.439021385851404,-1.2124620783231663,-1.467420763080322,-1.5260127912086818,0.0007768437438547,12,0,6,2019-02-01,2019
2019-02,-0.20537121211695042,-0.25396091287042455,-1.172292653471096,-0.439021385851404,-1.2124620783231663,-1.467420763080322,-1.5260127912086818,0.0007768437438547,12,1,6,2019-02-01,2019
2019-02,-0.20703820320095911,-0.2588757506167063,-1.172292653471096,-0.439021385851404,-1.2124620783231663,-1.467420763080322,-1.5260127912086818,0.0007768437438547,13,1,6,2019-02-01,2019
