model,train_r2,rmse,mae,smape,epsilon_mape,r2
Random Forest,0.9999999961130055,0.0015979325009558437,0.001175106783660147,20.89673173953244,19.162086113526644,0.9145612206999164
XGBoost,0.9994261075740393,0.0020132727419039584,0.0015522941798327976,29.40587442637106,24.614388269106946,0.8643738599874222
Linear Regression,0.9046706937398687,0.002112951741371606,0.001515619754908026,22.27494059908091,22.76070497653633,0.8506114435107599
Ridge,0.9046704548142696,0.0021133113279705085,0.0015158710936964042,22.277027645636647,22.76413546742856,0.8505605926627988
Lasso,0.8640138058572582,0.002837729622891678,0.0020814971955032094,30.147649248318395,31.944835244339806,0.7305487503382317
